commodity,category,first_year,last_year,years,first_php_per_kg,last_php_per_kg,change_php_pct,change_usd_pct,cagr_php_pct,markets,observations,source
Meat (pork),"meat, fish and eggs",2000,2025,26,89.6,358.33,299.9,193.0,5.7,80,7521,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet potatoes,cereals and tubers,2008,2025,18,19.91,63.75,220.2,146.7,7.09,79,2821,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Potatoes (Irish),cereals and tubers,2008,2025,18,49.36,132.01,167.4,102.7,5.96,77,5900,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage,vegetables and fruits,2008,2025,18,36.17,93.53,158.6,98.8,5.75,76,6037,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Carrots,vegetables and fruits,2008,2025,18,52.72,134.83,155.7,97.5,5.68,78,6437,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Tomatoes,vegetables and fruits,2008,2025,18,35.65,85.25,139.1,89.9,5.26,77,6520,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (regular, milled)",cereals and tubers,2000,2025,26,18.0,42.16,134.2,79.3,3.46,82,7823,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Onions (white),vegetables and fruits,2008,2025,18,68.93,151.44,119.7,74.2,4.74,71,2423,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Rice (milled, superior)",cereals and tubers,2000,2020,21,20.0,41.3,106.5,80.0,3.69,6,1342,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (beef, chops with bones)","meat, fish and eggs",2008,2025,18,185.08,366.25,97.9,54.6,4.1,77,6455,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
