property,value,note,source
retail per-kilo observations,214215,"of 234015 rows in the file; the rest are wholesale, farm gate, non-kilo units, or WFP aggregates","WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
commodities,62,,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
markets,97,,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
regions,17,the Philippines has 17,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
first month,2000-01-15,,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
last month,2026-06-15,,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
commodities spanning the whole record,2,"out of 62 -- the date range describes the file, not most of its commodities","WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
WFP aggregate rows excluded,5578,computed by WFP from the actual rows; counting both double-counts,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
non-kilogramme rows excluded,7850,a per-unit price and a per-kilo price are different measurements,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
farm gate observations,662,"one commodity only, so no farm-to-retail margin is computed for the basket","WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
household spending weights,0,"WFP prices carry no consumption weights, so no basket index is built and no commodity is called typical","WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
quality or grade adjustment,0,"a kilo of tomatoes in 2008 and in 2025 are assumed comparable, which is an assumption and not a measurement","WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2026 in change figures,0,the file reaches June 2026; partial years are excluded from every change and growth rate,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
