month,median_php_per_kg,highest_market_php,lowest_market_php,markets,pork_median_php,source
2021-01,148.75,232.5,100.0,64,249.17,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-02,130.0,203.13,80.63,64,276.25,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-03,133.13,187.5,78.13,64,280.63,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-04,122.5,180.0,76.25,65,293.13,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-05,112.5,180.0,65.0,64,294.69,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-06,110.0,180.0,67.5,64,300.63,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-07,118.75,180.0,77.5,65,296.25,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-08,118.09,180.0,71.19,65,300.0,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-09,123.06,180.0,82.01,64,299.69,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-10,130.0,180.0,86.51,65,292.94,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-11,141.25,204.5,93.72,65,288.99,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2021-12,160.75,233.13,115.35,65,297.03,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-01,202.5,375.0,119.17,61,289.3,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-02,158.94,223.25,92.5,60,309.38,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-03,118.14,202.5,65.63,60,319.38,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-04,103.69,173.59,60.0,60,323.31,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-05,100.75,173.09,43.75,60,324.39,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-06,106.25,174.5,57.5,61,327.5,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-07,111.46,165.83,67.5,61,328.75,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-08,133.75,181.83,97.75,61,328.02,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-09,143.75,186.33,105.95,59,313.11,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-10,204.38,260.0,107.72,61,311.43,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
2022-11,231.25,278.5,107.72,61,311.59,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
