year,farmgate_php_kg,farmgate_n,wholesale_php_kg,wholesale_n,retail_php_kg,retail_n,source
2000,,0,17.02,132,18.74,150,WFP via HDX
2001,,0,16.40,132,18.55,151,WFP via HDX
2002,,0,17.37,130,19.24,145,WFP via HDX
2003,,0,17.28,132,19.30,148,WFP via HDX
2004,,0,18.19,131,20.27,149,WFP via HDX
2005,,0,19.98,132,22.07,153,WFP via HDX
2006,,0,20.21,132,22.59,155,WFP via HDX
2007,,0,21.61,132,24.02,149,WFP via HDX
2008,13.71,164,28.10,132,31.77,143,WFP via HDX
2009,14.28,162,29.17,132,32.93,139,WFP via HDX
2010,14.54,158,29.42,132,31.63,272,WFP via HDX
2011,,0,30.07,132,33.49,138,WFP via HDX
2012,15.81,139,31.08,132,33.01,270,WFP via HDX
2013,15.36,39,32.84,132,34.45,216,WFP via HDX
2014,,0,38.10,132,40.66,203,WFP via HDX
2015,,0,36.13,145,38.89,243,WFP via HDX
2016,,0,35.27,159,38.91,232,WFP via HDX
2017,,0,36.22,196,38.76,267,WFP via HDX
2018,,0,39.43,222,42.73,267,WFP via HDX
2019,,0,34.95,167,40.78,156,WFP via HDX
2020,,0,32.82,20,43.26,2540,WFP via HDX
2021,,0,,0,43.06,2844,WFP via HDX
2022,,0,,0,44.27,2879,WFP via HDX
2023,,0,,0,48.04,2875,WFP via HDX
2024,,0,,0,55.58,2876,WFP via HDX
2025,,0,,0,49.28,2882,WFP via HDX
2026,,0,,0,54.37,1434,WFP via HDX
