region,mean_php_kg,median_php_kg,observations,markets,year,source
Region VII,56.42,51.75,142,4,2025,WFP via HDX
Autonomous region in Muslim Mindanao,52.12,51.58,154,5,2025,WFP via HDX
Region IV-B,50.7,49.0,180,5,2025,WFP via HDX
Region VI,50.61,50.06,216,6,2025,WFP via HDX
Region X,50.45,49.73,179,5,2025,WFP via HDX
Region VIII,50.14,49.17,214,6,2025,WFP via HDX
Cordillera Administrative region,49.91,50.29,201,6,2025,WFP via HDX
Region III,49.25,48.72,249,7,2025,WFP via HDX
Region IV-A,49.2,49.73,180,5,2025,WFP via HDX
National Capital region,49.18,48.36,36,1,2025,WFP via HDX
Region V,49.03,49.11,214,6,2025,WFP via HDX
Region XI,48.86,48.55,181,6,2025,WFP via HDX
Region IX,47.63,47.94,142,4,2025,WFP via HDX
Region XIII,47.58,47.74,179,5,2025,WFP via HDX
Region I,46.22,46.16,142,4,2025,WFP via HDX
Region XII,45.28,44.39,129,4,2025,WFP via HDX
Region II,43.24,42.95,144,4,2025,WFP via HDX
