commodity,year,mean_php_kg,observations,source
"Rice (milled, superior)",2000,19.8,68,WFP via HDX
"Rice (milled, superior)",2001,19.68,69,WFP via HDX
"Rice (milled, superior)",2002,20.59,65,WFP via HDX
"Rice (milled, superior)",2003,20.67,65,WFP via HDX
"Rice (milled, superior)",2004,21.65,67,WFP via HDX
"Rice (milled, superior)",2005,23.33,71,WFP via HDX
"Rice (milled, superior)",2006,23.92,71,WFP via HDX
"Rice (milled, superior)",2007,25.36,66,WFP via HDX
"Rice (milled, superior)",2008,33.49,71,WFP via HDX
"Rice (milled, superior)",2009,34.86,67,WFP via HDX
"Rice (milled, superior)",2010,34.71,70,WFP via HDX
"Rice (milled, superior)",2011,35.17,66,WFP via HDX
"Rice (milled, superior)",2012,36.11,66,WFP via HDX
"Rice (milled, superior)",2013,37.62,67,WFP via HDX
"Rice (milled, superior)",2014,43.12,65,WFP via HDX
"Rice (milled, superior)",2015,43.42,67,WFP via HDX
"Rice (milled, superior)",2016,43.41,64,WFP via HDX
"Rice (milled, superior)",2017,43.96,64,WFP via HDX
"Rice (milled, superior)",2018,46.68,66,WFP via HDX
"Rice (milled, superior)",2019,44.12,56,WFP via HDX
Rice (premium),2020,45.45,471,WFP via HDX
"Rice (regular, milled)",2000,17.87,82,WFP via HDX
"Rice (regular, milled)",2001,17.6,82,WFP via HDX
"Rice (regular, milled)",2002,18.14,80,WFP via HDX
"Rice (regular, milled)",2003,18.23,83,WFP via HDX
"Rice (regular, milled)",2004,19.15,82,WFP via HDX
"Rice (regular, milled)",2005,20.98,82,WFP via HDX
"Rice (regular, milled)",2006,21.47,84,WFP via HDX
"Rice (regular, milled)",2007,22.95,83,WFP via HDX
"Rice (regular, milled)",2008,30.07,72,WFP via HDX
"Rice (regular, milled)",2009,31.14,72,WFP via HDX
"Rice (regular, milled)",2010,30.56,202,WFP via HDX
"Rice (regular, milled)",2011,31.95,72,WFP via HDX
"Rice (regular, milled)",2012,32.01,204,WFP via HDX
"Rice (regular, milled)",2013,33.03,149,WFP via HDX
"Rice (regular, milled)",2014,39.51,138,WFP via HDX
"Rice (regular, milled)",2015,37.17,176,WFP via HDX
"Rice (regular, milled)",2016,37.19,168,WFP via HDX
"Rice (regular, milled)",2017,37.12,203,WFP via HDX
"Rice (regular, milled)",2018,41.43,201,WFP via HDX
"Rice (regular, milled)",2019,38.91,100,WFP via HDX
"Rice (regular, milled)",2020,37.43,587,WFP via HDX
"Rice (regular, milled)",2021,37.56,931,WFP via HDX
"Rice (regular, milled)",2022,39.07,975,WFP via HDX
"Rice (regular, milled)",2023,42.74,970,WFP via HDX
"Rice (regular, milled)",2024,50.22,969,WFP via HDX
"Rice (regular, milled)",2025,42.52,976,WFP via HDX
"Rice (regular, milled)",2026,47.8,487,WFP via HDX
Rice (special),2020,50.92,390,WFP via HDX
Rice (special),2021,49.85,900,WFP via HDX
Rice (special),2022,50.91,940,WFP via HDX
Rice (special),2023,54.75,937,WFP via HDX
Rice (special),2024,61.81,942,WFP via HDX
Rice (special),2025,57.17,940,WFP via HDX
Rice (special),2026,61.42,469,WFP via HDX
Rice (well milled),2020,42.08,595,WFP via HDX
Rice (well milled),2021,42.04,903,WFP via HDX
Rice (well milled),2022,43.05,964,WFP via HDX
Rice (well milled),2023,46.85,968,WFP via HDX
Rice (well milled),2024,54.87,965,WFP via HDX
Rice (well milled),2025,48.43,966,WFP via HDX
Rice (well milled),2026,54.16,478,WFP via HDX
