month,grade,imported_php_kg,local_php_kg,local_premium_php_kg,imported_n,local_n,source
2020-08,Premium,45.00,48.00,3.00,1,1,DA Bantay Presyo
2020-08,Well Milled,38.00,44.00,6.00,1,1,DA Bantay Presyo
2021-01,Premium,47.25,50.00,2.75,16,16,DA Bantay Presyo
2021-01,Well Milled,42.56,44.44,1.88,16,16,DA Bantay Presyo
2021-01,Regular Milled,38.00,40.00,2.00,5,16,DA Bantay Presyo
2021-02,Premium,47.75,48.00,0.25,20,20,DA Bantay Presyo
2021-02,Well Milled,43.80,45.00,1.20,20,20,DA Bantay Presyo
2021-03,Premium,48.17,48.00,-0.17,23,23,DA Bantay Presyo
2021-03,Well Milled,47.00,45.74,-1.26,23,23,DA Bantay Presyo
2021-04,Premium,48.00,50.40,2.40,20,20,DA Bantay Presyo
2021-04,Well Milled,47.00,46.05,-0.95,20,20,DA Bantay Presyo
2021-05,Premium,48.00,48.05,0.05,19,19,DA Bantay Presyo
2021-05,Well Milled,47.47,44.74,-2.74,19,19,DA Bantay Presyo
2021-06,Premium,48.00,48.00,0.00,21,21,DA Bantay Presyo
2021-06,Well Milled,47.43,44.00,-3.43,21,21,DA Bantay Presyo
2021-07,Premium,48.06,48.00,-0.06,18,18,DA Bantay Presyo
2021-07,Well Milled,46.72,44.11,-2.61,18,18,DA Bantay Presyo
2021-08,Premium,48.00,48.00,0.00,21,21,DA Bantay Presyo
2021-08,Well Milled,46.43,44.00,-2.43,21,21,DA Bantay Presyo
2024-02,Premium,58.03,55.33,-2.70,1,1,DA Bantay Presyo
2024-02,Well Milled,52.69,52.09,-0.60,1,1,DA Bantay Presyo
2024-03,Premium,58.12,55.29,-2.83,1,1,DA Bantay Presyo
2024-03,Well Milled,53.35,52.26,-1.09,1,1,DA Bantay Presyo
2024-03,Regular Milled,50.80,49.79,-1.01,1,1,DA Bantay Presyo
2024-05,Premium,57.32,55.06,-2.26,1,1,DA Bantay Presyo
2024-05,Well Milled,52.66,51.63,-1.03,1,1,DA Bantay Presyo
2024-05,Regular Milled,49.85,49.81,-0.04,1,1,DA Bantay Presyo
2024-08,Premium,56.36,54.47,-1.89,1,1,DA Bantay Presyo
2024-08,Well Milled,52.55,50.53,-2.02,1,1,DA Bantay Presyo
2024-08,Regular Milled,47.56,47.92,0.36,1,1,DA Bantay Presyo
2025-03,Premium,50.34,52.65,2.31,26,26,DA Bantay Presyo
2025-03,Well Milled,44.57,46.32,1.75,26,26,DA Bantay Presyo
2025-03,Regular Milled,40.42,40.58,0.16,26,26,DA Bantay Presyo
2025-04,Premium,47.35,52.29,4.94,26,26,DA Bantay Presyo
2025-04,Well Milled,43.57,45.43,1.85,26,26,DA Bantay Presyo
2025-04,Regular Milled,40.20,39.93,-0.27,25,26,DA Bantay Presyo
2025-05,Premium,46.50,51.71,5.21,32,32,DA Bantay Presyo
2025-05,Well Milled,43.87,44.76,0.89,29,32,DA Bantay Presyo
2025-05,Regular Milled,40.87,38.73,-2.14,31,32,DA Bantay Presyo
2025-06,Premium,46.07,51.51,5.43,29,29,DA Bantay Presyo
2025-06,Well Milled,42.85,44.44,1.59,25,29,DA Bantay Presyo
2025-06,Regular Milled,40.29,38.08,-2.21,24,29,DA Bantay Presyo
2025-07,Premium,45.36,50.97,5.62,30,30,DA Bantay Presyo
2025-07,Well Milled,43.75,43.81,0.06,30,30,DA Bantay Presyo
2025-07,Regular Milled,39.19,38.46,-0.73,27,30,DA Bantay Presyo
2025-08,Premium,45.00,50.76,5.76,30,30,DA Bantay Presyo
2025-08,Well Milled,44.14,43.47,-0.67,26,30,DA Bantay Presyo
2025-08,Regular Milled,38.48,38.30,-0.18,27,30,DA Bantay Presyo
2025-09,Premium,45.71,49.74,4.03,21,26,DA Bantay Presyo
2025-09,Well Milled,44.50,43.09,-1.41,18,26,DA Bantay Presyo
2025-09,Regular Milled,37.82,37.83,0.01,21,26,DA Bantay Presyo
2025-10,Premium,47.15,49.18,2.03,30,30,DA Bantay Presyo
2025-10,Well Milled,42.53,42.95,0.42,27,30,DA Bantay Presyo
2025-10,Regular Milled,39.07,37.35,-1.72,30,30,DA Bantay Presyo
2025-11,Premium,49.31,48.91,-0.41,30,30,DA Bantay Presyo
2025-11,Well Milled,43.20,42.72,-0.48,30,30,DA Bantay Presyo
2025-11,Regular Milled,39.42,37.48,-1.95,30,30,DA Bantay Presyo
2025-12,Premium,50.22,50.24,0.02,30,30,DA Bantay Presyo
2025-12,Well Milled,44.90,43.69,-1.20,30,30,DA Bantay Presyo
2025-12,Regular Milled,39.30,38.68,-0.62,30,30,DA Bantay Presyo
2026-01,Premium,51.35,51.00,-0.35,29,29,DA Bantay Presyo
2026-01,Well Milled,46.18,44.47,-1.70,29,29,DA Bantay Presyo
2026-01,Regular Milled,39.95,39.86,-0.08,29,29,DA Bantay Presyo
2026-02,Premium,55.70,52.01,-3.69,28,28,DA Bantay Presyo
2026-02,Well Milled,47.71,45.77,-1.94,28,28,DA Bantay Presyo
2026-02,Regular Milled,40.90,41.23,0.32,28,28,DA Bantay Presyo
2026-03,Premium,58.20,54.21,-3.99,27,27,DA Bantay Presyo
2026-03,Well Milled,47.81,47.87,0.06,27,27,DA Bantay Presyo
2026-03,Regular Milled,42.62,42.24,-0.38,27,27,DA Bantay Presyo
2026-04,Premium,59.19,55.79,-3.40,27,27,DA Bantay Presyo
2026-04,Well Milled,48.00,50.25,2.25,27,27,DA Bantay Presyo
2026-04,Regular Milled,43.08,44.41,1.34,27,27,DA Bantay Presyo
2026-05,Premium,55.69,55.49,-0.21,29,29,DA Bantay Presyo
2026-05,Well Milled,48.02,50.18,2.16,29,29,DA Bantay Presyo
2026-05,Regular Milled,42.59,45.10,2.52,29,29,DA Bantay Presyo
2026-06,Premium,50.82,54.52,3.70,30,30,DA Bantay Presyo
2026-06,Well Milled,47.96,49.41,1.45,30,30,DA Bantay Presyo
2026-06,Regular Milled,44.11,44.60,0.49,17,30,DA Bantay Presyo
2026-07,Premium,51.17,54.03,2.86,32,32,DA Bantay Presyo
2026-07,Well Milled,47.94,48.77,0.83,32,32,DA Bantay Presyo
2026-07,Regular Milled,49.25,44.42,-4.83,1,32,DA Bantay Presyo
2026-08,Premium,52.14,54.08,1.94,31,31,DA Bantay Presyo
