year,markets,regions,observations,source
2000,7,7,150,WFP via HDX
2001,7,7,151,WFP via HDX
2002,7,7,145,WFP via HDX
2003,7,7,148,WFP via HDX
2004,7,7,149,WFP via HDX
2005,7,7,153,WFP via HDX
2006,7,7,155,WFP via HDX
2007,7,7,149,WFP via HDX
2008,6,6,143,WFP via HDX
2009,6,6,139,WFP via HDX
2010,17,17,272,WFP via HDX
2011,6,6,138,WFP via HDX
2012,17,17,270,WFP via HDX
2013,17,17,216,WFP via HDX
2014,17,17,203,WFP via HDX
2015,17,17,243,WFP via HDX
2016,17,17,232,WFP via HDX
2017,17,17,267,WFP via HDX
2018,17,17,267,WFP via HDX
2019,17,17,156,WFP via HDX
2020,84,17,2054,WFP via HDX
2021,80,17,2734,WFP via HDX
2022,83,17,2879,WFP via HDX
2023,83,17,2875,WFP via HDX
2024,83,17,2876,WFP via HDX
2025,83,17,2882,WFP via HDX
2026,83,17,1434,WFP via HDX
