date,section,commodity,specification,price_php_per_kg,source_pdf
2019-10-10,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-10-2019.pdf
2019-10-10,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-10-2019.pdf
2019-10-11,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,35.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-11-2019.pdf
2019-10-11,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-11-2019.pdf
2019-10-12,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,35.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-12-2019.pdf
2019-10-12,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-12-2019.pdf
2019-10-14,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,35.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-14-2019.pdf
2019-10-14,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-14-2019.pdf
2019-10-15,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,35.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-15-2019.pdf
2019-10-15,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-15-2019.pdf
2019-10-16,NFA RICE,NFA (Regular milled),kg,27.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-16-2019.pdf
2019-10-16,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-16-2019.pdf
2019-10-17,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-17-2019.pdf
2019-10-17,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-17-2019.pdf
2019-10-18,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-18-2019.pdf
2019-10-18,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-October-18-2019.pdf
2019-10-19,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-19-2019.pdf
2019-10-19,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-October-19-2019.pdf
2019-10-21,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-21-2019.pdf
2019-10-21,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-October-21-2019.pdf
2019-10-22,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,35.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,55.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-22-2019.pdf
2019-10-22,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-22-2019.pdf
2019-10-23,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-23-2019.pdf
2019-10-23,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,36.00,Price-Monitoring-October-23-2019.pdf
2019-10-24,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,35.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,LOCAL COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-24-2019.pdf
2019-10-24,LOCAL COMMERCIAL RICE,Regular milled (White tag),kg,35.00,Price-Monitoring-October-24-2019.pdf
2019-10-25,NFA RICE,NFA (Well milled),kg,27.00,Price-Monitoring-October-25-2019.pdf
2019-10-25,IMPORTED COMMERCIAL RICE,Special (Blue tag),kg,52.00,Price-Monitoring-October-25-2019.pdf
2019-10-25,IMPORTED COMMERCIAL RICE,Premium (Yellow tag),kg,43.00,Price-Monitoring-October-25-2019.pdf
2019-10-25,IMPORTED COMMERCIAL RICE,Well milled (White tag),kg,40.00,Price-Monitoring-October-25-2019.pdf
2019-10-25,IMPORTED COMMERCIAL RICE,Regular milled (White tag),kg,32.00,Price-Monitoring-October-25-2019.pdf
2019-10-25,LOCAL COMMERCIAL RICE,Special (Blue tag),kg,50.00,Price-Monitoring-October-25-2019.pdf
2019-10-25,LOCAL COMMERCIAL RICE,Premium (Yellow tag),kg,45.00,Price-Monitoring-October-25-2019.pdf
