year,wholesale_php_kg,retail_php_kg,spread_php_kg,spread_pct,grade,source
2000,16.25,17.87,1.62,10.0,"Rice (regular, milled)",WFP via HDX
2001,15.38,17.60,2.21,14.4,"Rice (regular, milled)",WFP via HDX
2002,16.33,18.14,1.81,11.1,"Rice (regular, milled)",WFP via HDX
2003,16.16,18.23,2.07,12.8,"Rice (regular, milled)",WFP via HDX
2004,17.24,19.15,1.92,11.1,"Rice (regular, milled)",WFP via HDX
2005,19.20,20.98,1.78,9.3,"Rice (regular, milled)",WFP via HDX
2006,19.23,21.47,2.24,11.6,"Rice (regular, milled)",WFP via HDX
2007,20.66,22.95,2.29,11.1,"Rice (regular, milled)",WFP via HDX
2008,26.78,30.07,3.29,12.3,"Rice (regular, milled)",WFP via HDX
2009,27.59,31.14,3.55,12.9,"Rice (regular, milled)",WFP via HDX
2010,28.14,30.56,2.43,8.6,"Rice (regular, milled)",WFP via HDX
2011,28.81,31.95,3.14,10.9,"Rice (regular, milled)",WFP via HDX
2012,29.97,32.01,2.03,6.8,"Rice (regular, milled)",WFP via HDX
2013,31.46,33.03,1.57,5.0,"Rice (regular, milled)",WFP via HDX
2014,36.67,39.51,2.83,7.7,"Rice (regular, milled)",WFP via HDX
2015,34.10,37.17,3.07,9.0,"Rice (regular, milled)",WFP via HDX
2016,33.18,37.19,4.02,12.1,"Rice (regular, milled)",WFP via HDX
2017,34.76,37.12,2.36,6.8,"Rice (regular, milled)",WFP via HDX
2018,38.47,41.43,2.96,7.7,"Rice (regular, milled)",WFP via HDX
2019,33.55,38.91,5.36,16.0,"Rice (regular, milled)",WFP via HDX
2020,30.95,37.46,6.51,21.0,"Rice (regular, milled)",WFP via HDX
