year,life_expectancy,life_expectancy_female,life_expectancy_male,infant_mortality_per_1000,under5_mortality_per_1000,maternal_mortality_per_100k,tb_incidence_per_100k,measles_immunisation_pct,dpt_immunisation_pct,stunting_under5_pct,health_spend_pct_gdp,out_of_pocket_pct_of_health_spend,fertility_rate,source
1960,59.175,61.111,57.438,62.3,102.9,,,,,,,,6.996,World Bank World Development Indicators API v2
1961,59.469,61.497,57.643,60.7,99.7,,,,,,,,6.994,World Bank World Development Indicators API v2
1962,59.755,61.894,57.826,59.4,96.9,,,,,,,,6.98,World Bank World Development Indicators API v2
1963,60.018,62.155,58.082,58.3,94.5,,,,,,,,6.952,World Bank World Development Indicators API v2
1964,60.13,62.326,58.132,57.4,92.5,,,,,,,,6.886,World Bank World Development Indicators API v2
1965,60.41,62.71,58.315,56.5,90.6,,,,,,,,6.799,World Bank World Development Indicators API v2
1966,60.623,63.013,58.442,55.7,88.8,,,,,,,,6.691,World Bank World Development Indicators API v2
1967,60.804,63.304,58.521,54.9,87.1,,,,,,,,6.572,World Bank World Development Indicators API v2
1968,60.917,63.483,58.569,54.2,85.5,,,,,,,,6.448,World Bank World Development Indicators API v2
1969,60.981,63.642,58.542,53.6,84.2,,,,,,,,6.333,World Bank World Development Indicators API v2
1970,60.827,63.489,58.379,53.2,83.2,,,,,,,,6.218,World Bank World Development Indicators API v2
1971,61.065,63.812,58.522,52.9,82.5,,,,,,,,6.083,World Bank World Development Indicators API v2
1972,60.911,63.727,58.298,52.9,82.1,,,,,,,,5.937,World Bank World Development Indicators API v2
1973,60.741,63.63,58.041,53,81.9,,,,,,,,5.787,World Bank World Development Indicators API v2
1974,60.816,63.73,58.084,53.1,81.8,,,,,,,,5.693,World Bank World Development Indicators API v2
1975,60.904,63.858,58.111,53.3,81.8,,,,,,,,5.596,World Bank World Development Indicators API v2
1976,60.869,63.771,58.112,53.4,81.6,,,,,,,,5.505,World Bank World Development Indicators API v2
1977,61.431,64.458,58.549,53.4,81.3,,,,,,,,5.442,World Bank World Development Indicators API v2
1978,61.531,64.691,58.524,53.3,80.8,,,,,,,,5.393,World Bank World Development Indicators API v2
1979,61.727,64.976,58.627,52.9,80,,,,,,,,5.255,World Bank World Development Indicators API v2
1980,61.884,65.231,58.69,52.6,79.1,,,,47,,,,5.108,World Bank World Development Indicators API v2
1981,61.942,65.36,58.67,52.1,78.1,,,,54,,,,4.973,World Bank World Development Indicators API v2
1982,62.175,65.67,58.826,51.5,76.9,,,9,54,,,,4.917,World Bank World Development Indicators API v2
1983,62.349,65.861,58.975,50.7,75.6,,,27,55,,,,4.867,World Bank World Development Indicators API v2
1984,62.426,65.915,59.065,49.9,74,,,44,57,,,,4.77,World Bank World Development Indicators API v2
1985,62.735,66.226,59.362,48.7,71.9,204,,49,59,,,,4.664,World Bank World Development Indicators API v2
1986,62.875,66.443,59.429,47.2,69.4,199,,51,66,,,,4.563,World Bank World Development Indicators API v2
1987,63.299,66.813,59.88,45.4,66.4,191,,67,72,44.7,,,4.509,World Bank World Development Indicators API v2
1988,63.711,67.197,60.306,43.3,62.9,184,,77,79,,,,4.449,World Bank World Development Indicators API v2
1989,64.105,67.619,60.664,41,59.3,177,,83,86,,,,4.365,World Bank World Development Indicators API v2
1990,64.382,67.907,60.923,38.8,55.8,173,,85,88,43.3,,,4.322,World Bank World Development Indicators API v2
1991,64.622,68.155,61.138,36.7,52.6,172,,83,90,,,,4.273,World Bank World Development Indicators API v2
1992,65.353,68.773,61.946,34.9,49.7,160,,81,80,40.9,,,4.161,World Bank World Development Indicators API v2
1993,65.661,69.146,62.188,33.3,47.1,155,,78,76,38.9,,,4.098,World Bank World Development Indicators API v2
1994,66,69.43,62.562,32,44.9,151,,75,73,,,,4.079,World Bank World Development Indicators API v2
1995,66.311,69.73,62.864,30.8,43,147,,72,70,,,,4.067,World Bank World Development Indicators API v2
1996,66.691,70.142,63.206,29.8,41.3,141,,76,75,,,,4.004,World Bank World Development Indicators API v2
1997,66.994,70.404,63.533,29,39.9,138,,79,81,,,,3.943,World Bank World Development Indicators API v2
1998,67.212,70.605,63.761,28.3,38.7,135,,80,81,38.3,,,3.884,World Bank World Development Indicators API v2
1999,67.503,70.917,64.033,27.7,37.7,130,,80,80,,,,3.825,World Bank World Development Indicators API v2
2000,67.789,71.215,64.299,27.3,36.8,127,590,78,78,,3.05512357,41.19496918,3.754,World Bank World Development Indicators API v2
2001,67.829,71.2,64.384,26.8,36,132,579,81,79,,2.84775972,44.61747742,3.719,World Bank World Development Indicators API v2
2002,67.886,71.409,64.313,26.4,35.2,126,569,82,79,,2.63767385,47.76664352,3.651,World Bank World Development Indicators API v2
2003,68.049,71.497,64.531,25.9,34.4,127,559,87,84,33.4,3.07663488,47.70053482,3.591,World Bank World Development Indicators API v2
2004,68.301,71.885,64.662,25.4,33.6,122,549,92,88,,3.0468533,47.77958298,3.524,World Bank World Development Indicators API v2
2005,68.423,72.143,64.666,25,32.8,118,539,92,89,,3.74253035,52.10651398,3.448,World Bank World Development Indicators API v2
2006,68.172,71.541,64.721,24.5,32,129,530,92,88,,3.77762938,54.03545761,3.466,World Bank World Development Indicators API v2
2007,68.549,71.88,65.112,24.1,31.3,123,520,92,87,,3.75318074,55.9674263,3.403,World Bank World Development Indicators API v2
2008,68.643,71.949,65.231,23.7,30.7,123,524,90,87,32,3.86315918,57.44991684,3.401,World Bank World Development Indicators API v2
2009,68.631,71.966,65.189,23.3,30.1,122,528,89,88,,4.16451931,55.57599258,3.376,World Bank World Development Indicators API v2
2010,68.883,72.112,65.534,23,29.5,117,531,87,88,,4.13107872,54.84585953,3.315,World Bank World Development Indicators API v2
2011,69.096,72.229,65.835,22.7,29,115,535,86,89,33.4,4.02518559,58.89309311,3.236,World Bank World Development Indicators API v2
2012,69.237,72.373,65.98,22.4,28.6,110,539,84,89,,4.17709208,58.31450272,3.143,World Bank World Development Indicators API v2
2013,69.283,72.332,66.111,22.2,28.3,110,543,83,85,30,4.27408695,57.57440186,3.042,World Bank World Development Indicators API v2
2014,69.311,72.401,66.116,22.1,28,106,546,81,80,,3.70313668,52.37667847,2.894,World Bank World Development Indicators API v2
2015,69.45,72.527,66.271,22.1,27.9,104,550,80,76,33.1,3.8982749,51.1785965,2.829,World Bank World Development Indicators API v2
2016,69.49,72.749,66.187,22.2,27.8,98,554,80,84,,3.95484328,50.49208069,2.679,World Bank World Development Indicators API v2
2017,69.966,73.421,66.517,22.3,27.8,86,554,81,84,,3.96042776,50.14805984,2.525,World Bank World Development Indicators API v2
2018,69.761,72.807,66.69,22.5,27.9,92,554,82,84,29.9,3.9538188,50.4368515,2.378,World Bank World Development Indicators API v2
2019,69.68,72.702,66.66,22.6,28,92,554,83,84,28.7,4.16646004,48.78687668,2.215,World Bank World Development Indicators API v2
2020,70.097,72.76,67.421,22.7,28,88,544,79,83,,5.16214037,44.56456757,2.075,World Bank World Development Indicators API v2
2021,66.675,69.7,63.813,22.6,27.9,153,579,64,69,26.7,5.97500563,41.21797943,1.95,World Bank World Development Indicators API v2
2022,69.472,72.446,66.544,22.4,27.5,92,627,76,84,,5.15588379,44.63491821,1.929,World Bank World Development Indicators API v2
2023,69.833,72.819,66.893,22,27,84,632,81,89,,5.10122538,44.36006165,1.916,World Bank World Development Indicators API v2
2024,69.946,72.962,66.993,21.7,26.5,,625,80,71,,,,1.894,World Bank World Development Indicators API v2
