indicator,first_year,last_year,points,gap_years_inside_range,source
life_expectancy,1960,2024,65,0,World Bank World Development Indicators API v2
life_expectancy_female,1960,2024,65,0,World Bank World Development Indicators API v2
life_expectancy_male,1960,2024,65,0,World Bank World Development Indicators API v2
infant_mortality_per_1000,1960,2024,65,0,World Bank World Development Indicators API v2
under5_mortality_per_1000,1960,2024,65,0,World Bank World Development Indicators API v2
maternal_mortality_per_100k,1985,2023,39,0,World Bank World Development Indicators API v2
tb_incidence_per_100k,2000,2024,25,0,World Bank World Development Indicators API v2
measles_immunisation_pct,1982,2024,43,0,World Bank World Development Indicators API v2
dpt_immunisation_pct,1980,2024,45,0,World Bank World Development Indicators API v2
stunting_under5_pct,1987,2021,13,22,World Bank World Development Indicators API v2
health_spend_pct_gdp,2000,2023,24,0,World Bank World Development Indicators API v2
out_of_pocket_pct_of_health_spend,2000,2023,24,0,World Bank World Development Indicators API v2
fertility_rate,1960,2024,65,0,World Bank World Development Indicators API v2
