city_token,listings,listings_priced,median_price_php,mean_price_php,listings_with_floor_area,median_price_per_sqm,source
Muntinlupa,138,135,32514000,110431187,133,130683,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Quezon City,119,119,22500000,64344508,115,85058,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Cabanatuan,82,79,5425000,5984632,79,92587,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Paranaque,68,65,24950000,31756484,64,86491,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Urdaneta,64,64,8248000,8202547,64,101939,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Tarlac,56,56,5740500,6518048,56,94036,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Antipolo,46,43,12500000,17363068,42,66995,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Las Pinas,46,43,17500000,26133974,43,71429,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Subic,36,36,7664000,7870361,36,83505,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Davao,35,34,13800000,13462118,34,75391,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Pasig,29,29,25500000,46681379,27,84211,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Angeles,27,26,12800000,23120571,25,74419,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Imus,27,27,5234791,6326234,27,66032,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
General Trias,26,26,4000000,4048837,26,55852,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Calamba,25,24,4589352,12479000,21,83333,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Dasmarinas,25,24,10279500,11412208,24,87456,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Malolos,25,25,5733000,6389978,25,97087,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Mabalacat,24,23,2706500,8575704,23,44490,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Silang,23,22,35200000,40008873,22,101326,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Tanza,23,22,2878950,3027876,22,51146,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Fernando,22,22,7975000,13156157,21,56667,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Lipa,21,20,5359199,5640937,20,64316,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Makati,20,18,152000000,376055556,16,408110,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Taguig,20,17,112000000,97183661,15,266667,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Mexico,18,18,3153200,3322962,18,35011,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Juan,18,17,30000000,31719092,17,133030,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Talisay,17,17,16000000,24273136,17,75000,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Santa Maria,16,16,4340000,3610795,16,38068,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Bacoor,14,13,11058400,16106692,13,83990,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Cainta,13,12,14641000,15790167,12,74742,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Cebu,12,12,16000000,45188184,11,80000,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Baguio,11,11,20000000,24060909,10,93889,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Binan,11,10,7299750,8102254,10,73581,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Capas,11,11,3573000,5013727,11,60071,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Marikina,11,10,9700000,12740000,9,77615,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Kawit,10,10,5834000,5319572,10,66227,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Taytay,10,9,10400000,19411111,9,56870,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Lapu-Lapu,9,8,15000000,15386500,8,55632,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Pablo,9,9,3400000,3782322,9,47727,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Trece Martires,9,9,2149700,3247236,9,54635,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Carmona,8,8,14644260,39101884,8,80131,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Compostela,8,8,5806500,5701500,5,85622,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Rafael,8,8,1800000,1747375,8,39130,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Tagaytay,8,8,14700400,14024541,8,51111,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Caloocan,7,7,4500000,4511143,6,60040,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Pavia,7,7,4080345,4116071,7,63795,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Consolacion,6,6,15000000,15189832,6,57270,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Dumaguete,6,6,10500000,17633333,6,40723,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Iloilo,6,6,6700000,7336159,6,47125,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Jose,6,6,8050000,6937500,6,93352,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Pedro,6,5,5500000,6107385,4,76348,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Santa Rosa,6,5,5450000,8448117,5,53431,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Batangas City,5,5,4308966,43355373,5,27513,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Binangonan,5,3,2500000,2408667,3,22727,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Cabuyao,5,5,16000000,15437935,5,54545,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Calatagan,5,3,12000000,16608433,3,40000,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Dauis,5,5,6700000,7300000,5,67500,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Koronadal,5,5,3528200,4736930,5,77836,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Oton,5,5,2340000,5177500,4,36652,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Alaminos,4,4,4370524,4038900,4,46251,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Dagupan,4,4,5385000,5610000,4,62250,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Mandaluyong,4,4,28500000,41700000,4,127969,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Naic,4,4,1707600,2840818,4,40905,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Nasugbu,4,3,35000000,33483885,2,67856,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Pandi,4,4,1227966,1487379,4,26351,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
Porac,4,4,1507500,1544515,4,34083,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
San Jose Del Monte,4,4,8218500,10433000,4,65484,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
