year,basic_water_pct,safe_water_pct,basic_sanitation_pct,safe_sanitation_pct,electricity_pct,clean_cooking_pct,urban_pop_pct,urban_slum_pct,source
1960,,,,,,,30.01,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1961,,,,,,,30.25,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1962,,,,,,,30.46,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1963,,,,,,,30.65,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1964,,,,,,,30.82,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1965,,,,,,,30.98,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1966,,,,,,,31.14,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1967,,,,,,,31.3,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1968,,,,,,,31.47,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1969,,,,,,,31.66,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1970,,,,,,,31.86,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1971,,,,,,,32.08,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1972,,,,,,,32.29,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1973,,,,,,,32.49,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1974,,,,,,,32.69,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1975,,,,,,,32.89,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1976,,,,,,,33.08,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1977,,,,,,,33.27,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1978,,,,,,,33.46,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1979,,,,,,,33.66,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1980,,,,,,,33.85,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1981,,,,,,,34.04,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1982,,,,,,,34.24,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1983,,,,,,,34.44,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1984,,,,,,,34.64,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1985,,,,,,,34.85,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1986,,,,,,,35.07,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1987,,,,,,,35.29,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1988,,,,,,,35.52,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1989,,,,,,,35.75,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1990,,,,,,,36.0,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1991,,,,,,,36.26,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1992,,,,,,,36.52,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1993,,,,,65.4,,36.8,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1994,,,,,68.02,,37.09,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1995,,,,,69.13,,37.4,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1996,,,,,70.24,,37.71,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1997,,,,,71.35,,38.05,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1998,,,,,71.3,,38.39,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
1999,,,,,71.87,,38.76,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2000,86.51,41.73,64.58,47.1,74.7,37.4,39.14,49.97,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2001,86.87,41.84,65.01,47.48,75.7,38.6,39.54,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2002,87.24,42.95,65.44,47.87,76.7,39.3,39.96,48.57,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2003,87.62,44.07,65.88,48.26,76.6,39.9,40.39,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2004,87.99,44.62,66.31,48.65,87.6,40.1,40.85,47.16,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2005,88.37,44.75,66.75,49.04,79.8,40.3,41.33,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2006,88.74,44.88,67.18,49.44,80.2,40.3,41.83,45.76,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2007,89.12,45.01,68.21,50.24,82,40.1,42.35,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2008,89.5,45.15,69.24,51.06,83.3,40,43.15,44.35,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
2009,89.88,45.28,70.28,51.88,84.3,40,44.34,,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
