property,value,note,source
listings in file,1500,,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
listings with a price,1451,96.73% of rows,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
listings repeating an earlier row,90,"identical description, location and price","Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
distinct city or province tokens,143,,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
listings in the single most-covered token,138,Muntinlupa,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
southernmost latitude reached,6.128079,Mindanao is reached but thinly,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
northernmost latitude reached,17.630468,,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
listings asking ₱100M or more,103,these set the mean,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
dated listings,0,"no listing carries a date, so no trend can be computed","Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
transaction prices,0,every price is an asking price,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
survey weights,0,a portal scrape is not a sample; nothing scales to the country,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
