listing_id,description,location,city_token,price_php,bedrooms,bathrooms,floor_area_sqm,land_area_sqm,latitude,longitude,occurrence,source
1,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",Cainta,9500000,4,3,144.0,136.0,14.582341,121.118044,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
2,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",Santa Maria,4400000,3,2,63.2,80.0,14.807715,121.002402,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
3,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",Tarlac,7810000,5,3,100.0,110.0,15.477785,120.614075,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
4,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Gabon, Abucay",Abucay,,3,2,67.0,88.0,14.717814,120.531325,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
5,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",Zamboanga,3275000,2,1,40.3,78.4,6.948389,122.114889,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
6,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",Tanza,3167300,,,39.6,100.0,14.363135,120.820776,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
7,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",Santa Maria,1800000,2,2,52.0,40.0,14.827975,121.000389,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
8,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",Subic,8428000,5,3,142.0,121.0,14.913178,120.228242,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
9,2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",Pili,3565000,2,1,46.0,63.0,13.59799,123.243066,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
10,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",Muntinlupa,28650000,3,3,219.3,90.0,14.427001,121.045278,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
11,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",Mexico,3500000,3,2,102.4,154.0,15.094185,120.670158,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
12,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",Davao,5300000,3,2,70.3,67.0,7.103538,125.494847,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
13,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",San Rafael,1800000,2,1,46.0,41.0,14.971747,120.943443,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
14,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",Cabanatuan,7337000,4,3,85.0,99.0,15.471078,120.982131,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
15,Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",Paranaque,45001005,6,5,337.0,350.0,14.488841,121.032517,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
16,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka Ii, Pavia",Pavia,4080345,3,2,52.0,80.0,10.752901,122.537603,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
17,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",Subic,10082000,5,3,142.0,176.0,14.913178,120.228242,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
18,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",San Rafael,1800000,2,1,46.0,41.0,14.971747,120.943443,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
19,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",Lipa,7500000,4,3,119.0,150.0,13.998431,121.167459,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
20,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",General Trias,2292960,3,1,40.0,40.0,14.372321,120.897674,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
21,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",Tarlac,5251000,2,2,53.0,88.0,15.477785,120.614075,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
22,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",Tanza,2258057,3,1,45.0,62.0,14.366749,120.818448,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
23,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",Tarlac,11757000,5,3,166.0,176.0,15.477785,120.614075,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
24,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",Mabalacat,1400000,2,1,40.0,40.0,15.198775,120.60261,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
25,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",Davao,5300000,3,2,70.3,67.0,7.103538,125.494847,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
26,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",Muntinlupa,32342000,3,3,247.4,93.0,14.437884,121.050321,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
27,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",Muntinlupa,26393000,3,3,219.3,91.0,14.427001,121.045278,first,"Kaggle klekzee/phillipines-housing-market (portal scrape, 2024)"
