service,year,urban_pct,rural_pct,gap_pp,source
basic_water,2000,93.77,80.3,13.47,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2001,93.91,80.85,13.06,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2002,94.1,81.41,12.69,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2003,94.29,81.96,12.33,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2004,94.48,82.51,11.96,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2005,94.66,83.07,11.6,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2006,94.85,83.62,11.23,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2007,95.04,84.17,10.86,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2008,95.23,84.73,10.5,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2009,95.42,85.28,10.13,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2010,95.6,85.84,9.77,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2011,95.79,86.39,9.4,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2012,95.98,86.94,9.04,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2013,96.17,87.5,8.67,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2014,96.36,88.05,8.31,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2015,96.55,88.6,7.94,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2016,96.74,89.16,7.58,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
basic_water,2017,96.93,89.71,7.21,World Bank WDI (WHO/UNICEF JMP; IEA/WHO for cooking fuel)
