year,internet_users_pct,mobile_per_100,fixed_broadband_per_100,fixed_telephone_per_100,source
2000,1.98,8.11,,3.84,World Bank World Development Indicators API v2
2001,2.52,14.94,0.01,4.07,World Bank World Development Indicators API v2
2002,4.33,18.52,0.03,3.99,World Bank World Development Indicators API v2
2003,4.86,26.57,0.06,3.94,World Bank World Development Indicators API v2
2004,5.24,38.12,0.1,3.98,World Bank World Development Indicators API v2
2005,5.4,39.51,0.14,3.83,World Bank World Development Indicators API v2
2006,5.74,47.89,0.3,4.06,World Bank World Development Indicators API v2
2007,5.97,62.96,0.54,4.33,World Bank World Development Indicators API v2
2008,6.22,73.48,1.13,4.4,World Bank World Development Indicators API v2
2009,9,80.08,1.82,4.34,World Bank World Development Indicators API v2
2010,25,86.31,,3.46,World Bank World Development Indicators API v2
2011,29,95.87,1.82,3.62,World Bank World Development Indicators API v2
2012,30.8,101.8,2.14,3.49,World Bank World Development Indicators API v2
2013,32.7,100.73,2.52,3.08,World Bank World Development Indicators API v2
2014,34.7,107.28,2.79,2.98,World Bank World Development Indicators API v2
2015,36.9,111.89,2.75,3.06,World Bank World Development Indicators API v2
2016,39.2,112.52,2.8,3.54,World Bank World Development Indicators API v2
2017,41.6,110.96,3.14,3.85,World Bank World Development Indicators API v2
2018,44.1,122.96,3.46,3.78,World Bank World Development Indicators API v2
2019,43.03,151.01,5.7,3.84,World Bank World Development Indicators API v2
2020,53.76,133.46,7.08,4.22,World Bank World Development Indicators API v2
2021,66.91,144.42,8.51,4.13,World Bank World Development Indicators API v2
2022,75.21,147.43,7.64,4.21,World Bank World Development Indicators API v2
2023,77.87,117.28,6.54,4.03,World Bank World Development Indicators API v2
2024,67.26,115.3,7.14,3.82,World Bank World Development Indicators API v2
2025,,,,,World Bank World Development Indicators API v2
