type,year,quarter,tiles,tests,devices,wmean_down_mbps,wmean_up_mbps,wmean_latency_ms,box,source
fixed,2019,1,37973,1370085,343549,16.25,13.48,52.7,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2019,3,41613,1951091,523546,18.99,17.75,37.2,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2020,1,39718,1874870,407656,22.48,21.09,38.0,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2020,3,54291,3512316,510330,24.78,23.26,27.7,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2021,1,49093,2569630,435619,39.78,38.2,20.4,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2021,3,101900,8540545,1654360,56.87,54.22,18.9,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2022,1,103746,7102430,1503945,66.09,62.19,17.0,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2022,3,101548,6222012,1389565,86.44,82.87,14.5,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2023,1,92185,4188270,1104891,112.9,104.71,13.0,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2023,3,103205,4499108,1176892,119.67,112.02,14.9,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2024,1,112352,4531956,1183298,128.14,119.0,15.1,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2024,3,114231,4114935,1106398,132.77,123.46,14.5,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2025,1,114661,3782275,1016064,140.11,132.98,12.9,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2025,3,120273,4536816,1129135,150.16,142.24,12.4,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2019,1,27214,303662,151717,15.54,7.68,55.8,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2019,3,31068,390192,196511,18.5,8.47,46.6,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2020,1,37275,538650,231185,15.85,7.29,42.4,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2020,3,54933,956311,340288,17.4,6.82,38.6,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2021,1,58831,1040427,404103,25.47,8.23,32.1,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2021,3,71732,1387027,546544,35.21,10.53,30.4,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2022,1,69976,1180661,462430,42.43,10.44,31.4,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2022,3,61110,1003130,410606,51.86,11.11,30.0,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2023,1,56419,796921,351088,61.4,11.92,33.0,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2023,3,56205,822118,355192,71.81,12.95,29.5,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2024,1,53742,698141,316690,83.13,14.66,29.3,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2024,3,52187,675531,299555,85.51,15.02,29.1,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2025,1,49082,552669,258921,88.12,14.97,29.2,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2025,3,48770,559848,240908,89.45,15.33,28.4,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
