type,year,quarter,tiles,status,box,source
fixed,2019,1,37973,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2019,3,41613,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2020,1,39718,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2020,3,54291,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2021,1,49093,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2021,3,101900,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2022,1,103746,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2022,3,101548,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2023,1,92185,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2023,3,103205,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2024,1,112352,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2024,3,114231,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2025,1,114661,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
fixed,2025,3,120273,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2019,1,27214,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2019,3,31068,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2020,1,37275,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2020,3,54933,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2021,1,58831,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2021,3,71732,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2022,1,69976,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2022,3,61110,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2023,1,56419,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2023,3,56205,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2024,1,53742,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2024,3,52187,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2025,1,49082,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
mobile,2025,3,48770,parsed,"116-127E,4-21N","Ookla Open Data, Speedtest performance tiles"
