country,iso,year,rank_in_asean6,countries_ranked,overall_score,source
Singapore,SGP,2007,1,6,4.19,World Bank Logistics Performance Index
Malaysia,MYS,2007,2,6,3.48,World Bank Logistics Performance Index
Thailand,THA,2007,3,6,3.31,World Bank Logistics Performance Index
Indonesia,IDN,2007,4,6,3.01,World Bank Logistics Performance Index
Vietnam,VNM,2007,5,6,2.89,World Bank Logistics Performance Index
Philippines,PHL,2007,6,6,2.69,World Bank Logistics Performance Index
Singapore,SGP,2010,1,6,4.09,World Bank Logistics Performance Index
Malaysia,MYS,2010,2,6,3.44,World Bank Logistics Performance Index
Thailand,THA,2010,3,6,3.29,World Bank Logistics Performance Index
Philippines,PHL,2010,4,6,3.14,World Bank Logistics Performance Index
Vietnam,VNM,2010,5,6,2.96,World Bank Logistics Performance Index
Indonesia,IDN,2010,6,6,2.76,World Bank Logistics Performance Index
Singapore,SGP,2012,1,6,4.13,World Bank Logistics Performance Index
Malaysia,MYS,2012,2,6,3.49,World Bank Logistics Performance Index
Thailand,THA,2012,3,6,3.18,World Bank Logistics Performance Index
Philippines,PHL,2012,4,6,3.02,World Bank Logistics Performance Index
Vietnam,VNM,2012,5,6,3,World Bank Logistics Performance Index
Indonesia,IDN,2012,6,6,2.94,World Bank Logistics Performance Index
Singapore,SGP,2014,1,6,4.004,World Bank Logistics Performance Index
Malaysia,MYS,2014,2,6,3.59,World Bank Logistics Performance Index
Thailand,THA,2014,3,6,3.43,World Bank Logistics Performance Index
Vietnam,VNM,2014,4,6,3.155,World Bank Logistics Performance Index
Indonesia,IDN,2014,5,6,3.082,World Bank Logistics Performance Index
Philippines,PHL,2014,6,6,3.004,World Bank Logistics Performance Index
Singapore,SGP,2016,1,6,4.144,World Bank Logistics Performance Index
Malaysia,MYS,2016,2,6,3.426,World Bank Logistics Performance Index
Thailand,THA,2016,3,6,3.255,World Bank Logistics Performance Index
Indonesia,IDN,2016,4,6,2.985,World Bank Logistics Performance Index
Vietnam,VNM,2016,5,6,2.977,World Bank Logistics Performance Index
Philippines,PHL,2016,6,6,2.856,World Bank Logistics Performance Index
Singapore,SGP,2018,1,6,4,World Bank Logistics Performance Index
Thailand,THA,2018,2,6,3.41,World Bank Logistics Performance Index
Vietnam,VNM,2018,3,6,3.27,World Bank Logistics Performance Index
Malaysia,MYS,2018,4,6,3.22,World Bank Logistics Performance Index
Indonesia,IDN,2018,5,6,3.15,World Bank Logistics Performance Index
Philippines,PHL,2018,6,6,2.9,World Bank Logistics Performance Index
Singapore,SGP,2022,1,6,4.3,World Bank Logistics Performance Index
Malaysia,MYS,2022,2,6,3.6,World Bank Logistics Performance Index
Thailand,THA,2022,3,6,3.5,World Bank Logistics Performance Index
Philippines,PHL,2022,4,6,3.3,World Bank Logistics Performance Index
Vietnam,VNM,2022,5,6,3.3,World Bank Logistics Performance Index
Indonesia,IDN,2022,6,6,3,World Bank Logistics Performance Index
