country,iso,dimension,year,score,scale,source
Indonesia,IDN,customs,2007,2.73,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,customs,2010,2.43,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,customs,2012,2.53,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,customs,2014,2.87,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,customs,2016,2.688,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,customs,2018,2.67,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,customs,2022,2.8,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2007,2.83,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2010,2.54,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2012,2.54,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2014,2.919,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2016,2.645,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2018,2.89,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,infrastructure,2022,2.9,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2007,3.05,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2010,2.82,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2012,2.97,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2014,2.874,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2016,2.902,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2018,3.23,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,international shipments,2022,3,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,logistics competence,2007,2.9,1-5 survey scale,World Bank Logistics Performance Index
Indonesia,IDN,logistics competence,2010,2.47,1-5 survey scale,World Bank Logistics Performance Index
