property,value,note,source
names in the file,1000,"the 1,000 most common","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
people covered,74581757,"sum of incidence across the 1,000 names","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
implied population base,106009905,"median of incidence x frequency across all 1,000 rows; the two columns agree to within 1.2%, which is the frequency denominator being rounded to a whole number","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
"implied base, lowest",105713344,,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
"implied base, highest",106995936,,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
share of the population covered,70.35,"%; the rest carry a forename outside the top 1,000","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
collection date stated in the file,0,"none. The implied base of 106,009,905 dates it to roughly 2019-2020, when the Philippine population passed 106 million -- an inference, not a statement from the source","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
time dimension,0,"one snapshot. No name can be shown rising or falling, and the page makes no claim about naming trends","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
regional or provincial split,0,"national only, so nothing here distinguishes Ilocos from Mindanao","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
surnames,0,forenames only. Philippine surnames were assigned administratively in 1849 and are a different subject,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
age of bearers,0,"a name common among the living is not a name common among the newborn, and this file cannot tell the two apart","Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
methodology published by the source,0,how incidence was counted is not documented in the dataset,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
