initial,people,pct_of_covered,names,source
R,11628779,15.59,125,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
M,11244592,15.08,100,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
J,10337758,13.86,110,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
A,8236839,11.04,125,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
E,6059862,8.13,77,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
L,3862652,5.18,70,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
C,3600125,4.83,65,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
D,2473891,3.32,33,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
F,2269137,3.04,37,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
N,2265545,3.04,34,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
G,2257919,3.03,34,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
S,1944583,2.61,39,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
V,1507200,2.02,18,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
B,1427122,1.91,32,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
P,1148978,1.54,27,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
T,934608,1.25,16,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
I,839984,1.13,15,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
H,688362,0.92,14,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
W,599728,0.8,9,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
K,477903,0.64,10,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
O,436136,0.58,6,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
Z,230038,0.31,3,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
Y,110016,0.15,1,"Kaggle jorizivannvillanueva/most-popular-names-in-philippines-dataset (1,000 most common Philippine forenames)"
