year,remittances_usd,remittances_pct_gdp,net_migration,gdp_usd,exports_goods_services_usd,fdi_net_inflows_usd,remittances_over_fdi,source
1977,339000000,1.5213316408332,-123608,22283109803.3521,,210000000,1.61,World Bank World Development Indicators API v2
1978,446000000,1.73121695650044,-140372,25762224562.6316,,101000000,4.42,World Bank World Development Indicators API v2
1979,556000000,1.7810068646833,-154684,31218296292.1295,,7000000,79.43,World Bank World Development Indicators API v2
1980,626000000,1.69886730795849,-179832,36848080898.8112,,-106000000,,World Bank World Development Indicators API v2
1981,800000000,1.97533844914347,-134484,40499388869.1271,6543358555.12586,172000000,4.65,World Bank World Development Indicators API v2
1982,1049000000,2.48542794807286,-19912,42206011275.1757,5854443596.01874,16000000,65.56,World Bank World Development Indicators API v2
1983,1124000000,2.97675956718232,-10229,37759179894.5298,5554591564.78114,105000000,10.7,World Bank World Development Indicators API v2
1984,718000000,2.00950537275224,-48739,35730185633.5233,6053575750.89043,9000000,79.78,World Bank World Development Indicators API v2
1985,806000000,2.30539397544983,-171539,34961486348.2382,5951187302.3025,12000000,67.17,World Bank World Development Indicators API v2
1986,861000000,2.53330611288002,-209835,33987207294.9432,6310106781.80368,127000000,6.78,World Bank World Development Indicators API v2
1987,1020000000,2.69902043026863,-68149,37791488666.0743,7007121196.73225,307000000,3.32,World Bank World Development Indicators API v2
1988,1262000000,2.92453705171863,-147523,43152128958.6116,8630151222.99822,936000000,1.35,World Bank World Development Indicators API v2
1989,1362000000,2.80745012301448,-235884,48513773720.673,9576565364.64188,563000000,2.42,World Bank World Development Indicators API v2
1990,1465000000,2.90051414809649,-63296,50508286641.5746,9795179683.67578,530000000,2.76,World Bank World Development Indicators API v2
1991,1850000000,3.57252205679188,-413300,51784144942.727,10856619093.8246,544000000,3.4,World Bank World Development Indicators API v2
1992,2538000000,4.20043396842865,-50338,60422328242.1803,12555557116.8822,228000000,11.13,World Bank World Development Indicators API v2
1993,2587000000,4.17012369254618,-298337,62036529147.1831,13836087972.0464,1238000000,2.09,World Bank World Development Indicators API v2
1994,3452000000,4.71846813482997,-326539,73159336915.2718,17613597498.9294,1591000000,2.17,World Bank World Development Indicators API v2
1995,5360000000,6.33237935793294,-280327,84644328727.4825,21961852796.7156,1478000000,3.63,World Bank World Development Indicators API v2
1996,4875000000,5.15065891656287,-128251,94648084429.0341,27340728434.0539,1517000000,3.21,World Bank World Development Indicators API v2
1997,6799000000,7.22480719245843,-145334,94106317565.0846,33018279727.5853,1222000000,5.56,World Bank World Development Indicators API v2
1998,5130000000,6.8866070571266,178274,74492416329.9142,28163249808.9529,2287000000,2.24,World Bank World Development Indicators API v2
1999,6693000000,7.81525762772395,-18323,85640171045.1254,32895382041.5333,1829000000,3.66,World Bank World Development Indicators API v2
2000,6924000000,8.27538844583698,-33868,83669788376.9213,36266016498.3679,1487000000,4.66,World Bank World Development Indicators API v2
2001,8760000000,11.0996743274612,-247496,78921234457.5487,32480429836.8783,760000000,11.53,World Bank World Development Indicators API v2
2002,9735000000,11.5470364978462,-268520,84307345887.543,33727726965.0759,1769000000,5.5,World Bank World Development Indicators API v2
2003,10239000000,11.7636795721571,-248066,87039092974.2272,36821904272.9347,492000000,20.81,World Bank World Development Indicators API v2
2004,11468000000,12.0713248541975,-273743,95001999685.3314,39736335346.4638,592000000,19.37,World Bank World Development Indicators API v2
2005,13732557721.8325,12.7839886627031,-326063,107419977318.166,44289298773.9857,1664000000,8.25,World Bank World Development Indicators API v2
2006,15496088457.3,12.1392347971869,-566647,127652926368.069,52651035880.407,2707414996.79964,5.72,World Bank World Development Indicators API v2
2007,16437434091.535,10.538140162174,-225977,155980408673.403,59294683203.5813,2918724840.50407,5.63,World Bank World Development Indicators API v2
2008,18850672419.335,10.3789187625683,-498480,181624626327.361,60584223733.5822,1340027563.20325,14.07,World Bank World Development Indicators API v2
2009,19959507639.085,11.3422561884615,-164411,175974755881.372,53178736402.3859,2064620677.76657,9.67,World Bank World Development Indicators API v2
2010,21556633835.6025,10.3454184113586,13556,208368893151.144,68500918811.9867,1070386939.91896,20.14,World Bank World Development Indicators API v2
2011,23053626019.0124,9.84286049520808,-240005,234216730291.32,68169783855.6464,2007150725.40003,11.49,World Bank World Development Indicators API v2
2012,24609679612.7445,9.39585704973622,95702,261920540962.63,71941908434.7541,3215415155.43566,7.65,World Bank World Development Indicators API v2
2013,26716840269.1056,9.41055797221716,-218439,283902828588.718,74318435289.2963,3737371739.84519,7.15,World Bank World Development Indicators API v2
2014,28690797896.4983,9.64449879049469,-196524,297483555338.044,81375151612.2683,5739574024.13183,5.0,World Bank World Development Indicators API v2
2015,29799395699.8779,9.72419552564766,-390702,306445871242.322,83377968054.3017,5639155961.87389,5.28,World Bank World Development Indicators API v2
2016,31141973475.3293,9.77380233956317,-309251,318627003016.731,84987391167.9967,8279548274.88501,3.76,World Bank World Development Indicators API v2
2017,32809770433.9087,9.98833927166016,-263593,328480736802.76,97073582741.5119,10256442398.8834,3.2,World Bank World Development Indicators API v2
2018,33808967986.2665,9.74765976052018,-163602,346841896587.313,104793441904.255,9948598823.96867,3.4,World Bank World Development Indicators API v2
2019,35167471832.1844,9.33261353281524,-6208,376823402239.136,106953484846.44,8671365873.65689,4.06,World Bank World Development Indicators API v2
2020,34882844550.0775,9.64277376552078,-47014,361751145451.597,91171559890.9852,6822133290.81919,5.11,World Bank World Development Indicators API v2
