year,poverty_national_pct,poverty_215usd_pct,poverty_365usd_pct,gini,income_share_bottom_20,income_share_top_10,unemployment_pct,vulnerable_employment_pct,gni_per_capita_usd,source
1980,,,,,,,,,780,World Bank World Development Indicators API v2
1981,,,,,,,,,840,World Bank World Development Indicators API v2
1982,,,,,,,,,830,World Bank World Development Indicators API v2
1983,,,,,,,,,760,World Bank World Development Indicators API v2
1984,,,,,,,,,650,World Bank World Development Indicators API v2
1985,,43.3,62.7,41,6.4,32.7,,,580,World Bank World Development Indicators API v2
1986,,,,,,,,,610,World Bank World Development Indicators API v2
1987,,,,,,,,,680,World Bank World Development Indicators API v2
1988,,41,60.2,40.7,6.5,32,,,740,World Bank World Development Indicators API v2
1989,,,,,,,,,790,World Bank World Development Indicators API v2
1990,,,,,,,,,820,World Bank World Development Indicators API v2
1991,,40.6,58.4,43.8,5.9,34.7,3.727,43.5563837755091,820,World Bank World Development Indicators API v2
1992,,,,,,,3.849,43.5898375163384,870,World Bank World Development Indicators API v2
1993,,,,,,,3.869,43.6046535007821,920,World Bank World Development Indicators API v2
1994,,38.8,56.6,42.9,5.9,33.6,3.767,43.579085052827,1040,World Bank World Development Indicators API v2
1995,,,,,,,3.68,43.5694346625563,1150,World Bank World Development Indicators API v2
1996,,,,,,,3.607,43.3828513865047,1310,World Bank World Development Indicators API v2
1997,,30.7,48.2,46,5.4,36.3,3.592,43.1740749355178,1380,World Bank World Development Indicators API v2
1998,,,,,,,3.697,43.163415004929,1300,World Bank World Development Indicators API v2
1999,,,,,,,3.751,43.779987955798,1230,World Bank World Development Indicators API v2
2000,,25.9,42.8,47.7,5.1,37.7,3.77,42.705329549964,1150,World Bank World Development Indicators API v2
2001,,,,,,,3.698,42.6112543896102,1140,World Bank World Development Indicators API v2
2002,,,,,,,3.616,42.7080021429488,1110,World Bank World Development Indicators API v2
2003,,24.3,41,46.6,5.2,36.6,3.527,42.0798934386479,1150,World Bank World Development Indicators API v2
2004,,,,,,,3.554,40.2084288709225,1260,World Bank World Development Indicators API v2
2005,,,,,,,3.795,42.176860354964,1350,World Bank World Development Indicators API v2
2006,,26.1,42.8,47.2,5,36.6,4.052,41.9075334179743,1470,World Bank World Development Indicators API v2
2007,,,,,,,3.434,41.0035892270681,1680,World Bank World Development Indicators API v2
2008,,,,,,,3.72,40.750073252378,1970,World Bank World Development Indicators API v2
2009,,22,38.9,46.3,5.3,36.3,3.858,39.9084008240244,2130,World Bank World Development Indicators API v2
2010,,,,,,,3.605,38.9525651325871,2310,World Bank World Development Indicators API v2
2011,,,,,,,3.592,38.4180207411066,2450,World Bank World Development Indicators API v2
2012,,21.3,38.1,46.5,5.2,36.3,3.504,36.5873196677334,2780,World Bank World Development Indicators API v2
2013,,,,,,,3.497,35.6065174792773,3060,World Bank World Development Indicators API v2
2014,,,,,,,3.6,36.2354532744432,3220,World Bank World Development Indicators API v2
2015,23.5,14.6,30.7,44.6,5.6,34.9,3.068,34.8469498091816,3280,World Bank World Development Indicators API v2
2016,,,,,,,2.695,34.5004093033,3350,World Bank World Development Indicators API v2
2017,,,,,,,2.552,33.1944885597978,3440,World Bank World Development Indicators API v2
2018,16.7,8.3,21.8,42.3,6.2,33.5,2.338,31.9891108532916,3610,World Bank World Development Indicators API v2
2019,,,,,,,2.237,32.2975875342189,3760,World Bank World Development Indicators API v2
2020,,,,,,,2.522,33.974824433767,3350,World Bank World Development Indicators API v2
2021,18.1,8.1,21.3,40.7,6.5,32.5,3.398,33.5918236552734,3570,World Bank World Development Indicators API v2
2022,,,,,,,2.598,34.5174061547317,4010,World Bank World Development Indicators API v2
2023,15.5,5.3,16.9,39.3,6.9,31.6,2.2,34.2583905496603,4320,World Bank World Development Indicators API v2
2024,,,,,,,2.202,33.9269231826241,4470,World Bank World Development Indicators API v2
2025,,,,,,,2.235,33.6220638491652,4850,World Bank World Development Indicators API v2
