survey_year,gini,income_share_bottom_20,income_share_top_10,poverty_national_pct,poverty_215usd_pct,source
1985,41,6.4,32.7,,43.3,World Bank World Development Indicators API v2
1988,40.7,6.5,32,,41,World Bank World Development Indicators API v2
1991,43.8,5.9,34.7,,40.6,World Bank World Development Indicators API v2
1994,42.9,5.9,33.6,,38.8,World Bank World Development Indicators API v2
1997,46,5.4,36.3,,30.7,World Bank World Development Indicators API v2
2000,47.7,5.1,37.7,,25.9,World Bank World Development Indicators API v2
2003,46.6,5.2,36.6,,24.3,World Bank World Development Indicators API v2
2006,47.2,5,36.6,,26.1,World Bank World Development Indicators API v2
2009,46.3,5.3,36.3,,22,World Bank World Development Indicators API v2
2012,46.5,5.2,36.3,,21.3,World Bank World Development Indicators API v2
2015,44.6,5.6,34.9,23.5,14.6,World Bank World Development Indicators API v2
2018,42.3,6.2,33.5,16.7,8.3,World Bank World Development Indicators API v2
2021,40.7,6.5,32.5,18.1,8.1,World Bank World Development Indicators API v2
2023,39.3,6.9,31.6,15.5,5.3,World Bank World Development Indicators API v2
