year,ticker,prev_close,close,return_pct,source
2015,ABG,8.5500,10.2800,20.23,PSE Edge
2016,ABG,10.2800,19.6000,90.66,PSE Edge
2017,ABG,19.6000,17.3600,-11.43,PSE Edge
2018,ABG,17.3600,26.0000,49.77,PSE Edge
2019,ABG,26.0000,10.4600,-59.77,PSE Edge
2020,ABG,10.4600,10.3800,-0.76,PSE Edge
2021,ABG,10.3800,5.9000,-43.16,PSE Edge
2022,ABG,5.9000,3.5300,-40.17,PSE Edge
2023,ABG,3.5300,3.0100,-14.73,PSE Edge
2024,ABG,3.0100,21.0000,597.67,PSE Edge
2025,ABG,21.0000,18.7800,-10.57,PSE Edge
2026,ABG,18.7800,62.0000,230.14,PSE Edge
2015,AC,694.0000,756.0000,8.93,PSE Edge
2016,AC,756.0000,730.5000,-3.37,PSE Edge
2017,AC,730.5000,1015.0000,38.95,PSE Edge
2018,AC,1015.0000,900.0000,-11.33,PSE Edge
2019,AC,900.0000,785.5000,-12.72,PSE Edge
2020,AC,785.5000,827.0000,5.28,PSE Edge
2021,AC,827.0000,831.0000,0.48,PSE Edge
2022,AC,831.0000,695.0000,-16.37,PSE Edge
2023,AC,695.0000,681.0000,-2.01,PSE Edge
2024,AC,681.0000,599.0000,-12.04,PSE Edge
2025,AC,599.0000,468.0000,-21.87,PSE Edge
2026,AC,468.0000,497.0000,6.20,PSE Edge
2015,ACEN,2.2300,2.1800,-2.24,PSE Edge
2016,ACEN,2.1800,2.1300,-2.29,PSE Edge
2017,ACEN,2.1300,1.5700,-26.29,PSE Edge
2018,ACEN,1.5700,1.1500,-26.75,PSE Edge
2019,ACEN,1.1500,2.2300,93.91,PSE Edge
2020,ACEN,2.2300,9.0000,303.59,PSE Edge
2021,ACEN,9.0000,11.0000,22.22,PSE Edge
2022,ACEN,11.0000,7.6200,-30.73,PSE Edge
2023,ACEN,7.6200,4.3800,-42.52,PSE Edge
2024,ACEN,4.3800,4.0000,-8.68,PSE Edge
2025,ACEN,4.0000,2.7200,-32.00,PSE Edge
2026,ACEN,2.7200,2.7300,0.37,PSE Edge
2015,AEV,52.7000,57.9500,9.96,PSE Edge
2016,AEV,57.9500,70.8000,22.17,PSE Edge
