year,month,advancing,declining,unchanged,counted,advancing_share_pct,universe,source
2014,2,43,15,3,61,70.5,80,PSE Edge
2014,3,34,26,2,62,54.8,80,PSE Edge
2014,4,47,15,0,62,75.8,80,PSE Edge
2014,5,22,39,2,63,34.9,80,PSE Edge
2014,6,38,25,1,64,59.4,80,PSE Edge
2014,7,30,33,1,64,46.9,80,PSE Edge
2014,8,28,31,5,64,43.8,80,PSE Edge
2014,9,41,22,1,64,64.1,80,PSE Edge
2014,10,15,46,3,64,23.4,80,PSE Edge
2014,11,33,26,5,64,51.6,80,PSE Edge
2014,12,21,39,5,65,32.3,80,PSE Edge
2015,1,44,19,2,65,67.7,80,PSE Edge
2015,2,32,30,1,63,50.8,80,PSE Edge
2015,3,33,30,0,63,52.4,80,PSE Edge
2015,4,16,47,2,65,24.6,80,PSE Edge
2015,5,22,41,2,65,33.8,80,PSE Edge
2015,6,23,40,2,65,35.4,80,PSE Edge
2015,7,32,31,2,65,49.2,80,PSE Edge
2015,8,6,58,1,65,9.2,80,PSE Edge
2015,9,22,42,1,65,33.8,80,PSE Edge
2015,10,46,18,2,66,69.7,80,PSE Edge
2015,11,17,46,2,65,26.2,80,PSE Edge
2015,12,31,32,2,65,47.7,80,PSE Edge
2016,1,13,50,3,66,19.7,80,PSE Edge
2016,2,47,17,1,65,72.3,80,PSE Edge
2016,3,52,10,3,65,80.0,80,PSE Edge
2016,4,28,35,2,65,43.1,80,PSE Edge
2016,5,38,27,1,66,57.6,80,PSE Edge
2016,6,48,16,2,66,72.7,80,PSE Edge
2016,7,40,27,0,67,59.7,80,PSE Edge
2016,8,32,34,1,67,47.8,80,PSE Edge
2016,9,29,37,1,67,43.3,80,PSE Edge
2016,10,23,42,2,67,34.3,80,PSE Edge
2016,11,18,48,1,67,26.9,80,PSE Edge
2016,12,31,33,3,67,46.3,80,PSE Edge
2017,1,50,17,0,67,74.6,80,PSE Edge
2017,2,34,32,1,67,50.7,80,PSE Edge
2017,3,27,38,2,67,40.3,80,PSE Edge
2017,4,48,20,0,68,70.6,80,PSE Edge
2017,5,38,29,1,68,55.9,80,PSE Edge
2017,6,32,33,3,68,47.1,80,PSE Edge
2017,7,38,30,0,68,55.9,80,PSE Edge
2017,8,26,40,2,68,38.2,80,PSE Edge
2017,9,33,34,1,68,48.5,80,PSE Edge
2017,10,33,34,1,68,48.5,80,PSE Edge
2017,11,19,46,3,68,27.9,80,PSE Edge
2017,12,38,27,3,68,55.9,80,PSE Edge
2018,1,36,29,3,68,52.9,80,PSE Edge
2018,2,24,44,0,68,35.3,80,PSE Edge
2018,3,22,44,2,68,32.4,80,PSE Edge
2018,4,17,49,2,68,25.0,80,PSE Edge
2018,5,22,44,2,68,32.4,80,PSE Edge
2018,6,14,54,0,68,20.6,80,PSE Edge
2018,7,45,20,3,68,66.2,80,PSE Edge
2018,8,32,36,0,68,47.1,80,PSE Edge
2018,9,11,56,1,68,16.2,80,PSE Edge
2018,10,26,41,1,68,38.2,80,PSE Edge
2018,11,38,27,3,68,55.9,80,PSE Edge
2018,12,39,27,2,68,57.4,80,PSE Edge
2019,1,51,16,1,68,75.0,80,PSE Edge
2019,2,36,30,2,68,52.9,80,PSE Edge
2019,3,40,28,0,68,58.8,80,PSE Edge
2019,4,30,36,2,68,44.1,80,PSE Edge
2019,5,33,31,4,68,48.5,80,PSE Edge
2019,6,36,31,1,68,52.9,80,PSE Edge
2019,7,31,37,0,68,45.6,80,PSE Edge
2019,8,22,45,1,68,32.4,80,PSE Edge
2019,9,19,49,0,68,27.9,80,PSE Edge
2019,10,35,31,2,68,51.5,80,PSE Edge
2019,11,19,47,2,68,27.9,80,PSE Edge
2019,12,27,40,1,68,39.7,80,PSE Edge
2020,1,16,49,3,68,23.5,80,PSE Edge
2020,2,14,53,0,67,20.9,80,PSE Edge
2020,3,3,64,0,67,4.5,80,PSE Edge
2020,4,48,18,1,67,71.6,80,PSE Edge
2020,5,22,44,0,66,33.3,80,PSE Edge
2020,6,52,14,0,66,78.8,80,PSE Edge
2020,7,17,49,1,67,25.4,80,PSE Edge
2020,8,40,25,2,67,59.7,80,PSE Edge
2020,9,36,30,2,68,52.9,80,PSE Edge
2020,10,53,14,1,68,77.9,80,PSE Edge
2020,11,59,10,0,69,85.5,80,PSE Edge
2020,12,45,23,1,69,65.2,80,PSE Edge
2021,1,12,54,3,69,17.4,80,PSE Edge
2021,2,48,19,2,69,69.6,80,PSE Edge
2021,3,20,49,0,69,29.0,80,PSE Edge
2021,4,38,31,0,69,55.1,80,PSE Edge
2021,5,39,30,0,69,56.5,80,PSE Edge
2021,6,52,14,2,68,76.5,80,PSE Edge
2021,7,13,53,2,68,19.1,80,PSE Edge
2021,8,47,19,1,67,70.1,80,PSE Edge
2021,9,38,26,4,68,55.9,80,PSE Edge
2021,10,49,18,2,69,71.0,80,PSE Edge
2021,11,34,34,2,70,48.6,80,PSE Edge
2021,12,36,34,2,72,50.0,80,PSE Edge
2022,1,38,30,4,72,52.8,80,PSE Edge
2022,2,29,41,2,72,40.3,80,PSE Edge
2022,3,24,49,1,74,32.4,80,PSE Edge
2022,4,15,59,1,75,20.0,80,PSE Edge
2022,5,33,40,2,75,44.0,80,PSE Edge
2022,6,12,60,3,75,16.0,80,PSE Edge
2022,7,42,30,3,75,56.0,80,PSE Edge
2022,8,46,25,4,75,61.3,80,PSE Edge
2022,9,13,61,0,74,17.6,80,PSE Edge
2022,10,42,32,0,74,56.8,80,PSE Edge
2022,11,60,14,0,74,81.1,80,PSE Edge
2022,12,28,45,1,74,37.8,80,PSE Edge
2023,1,54,19,1,74,73.0,80,PSE Edge
2023,2,31,41,2,74,41.9,80,PSE Edge
2023,3,31,42,1,74,41.9,80,PSE Edge
2023,4,36,34,4,74,48.6,80,PSE Edge
2023,5,27,44,3,74,36.5,80,PSE Edge
2023,6,33,39,2,74,44.6,80,PSE Edge
2023,7,44,30,0,74,59.5,80,PSE Edge
2023,8,17,55,2,74,23.0,80,PSE Edge
2023,9,35,36,3,74,47.3,80,PSE Edge
2023,10,14,55,5,74,18.9,80,PSE Edge
2023,11,42,28,3,73,57.5,80,PSE Edge
2023,12,55,17,1,73,75.3,80,PSE Edge
2024,1,47,27,0,74,63.5,80,PSE Edge
2024,2,43,28,3,74,58.1,80,PSE Edge
2024,3,35,39,1,75,46.7,80,PSE Edge
2024,4,32,41,2,75,42.7,80,PSE Edge
