date,buying_php,selling_php,net_php,total_php,source
2019-04-29,3735925000,3778839000,-42914000,7514764000,PSE Weekly Report
2019-04-30,4233055000,3819765000,413290000,8052820000,PSE Weekly Report
2019-05-02,4072642000,3779467000,293175000,7852109000,PSE Weekly Report
2019-05-03,4662878000,4731035000,-68157000,9393912000,PSE Weekly Report
2019-05-06,3594837000,3617068000,-22231000,7211904000,PSE Weekly Report
2019-05-07,2960360000,2968286000,-7926000,5928646000,PSE Weekly Report
2019-05-08,3798189000,4159121000,-360932000,7957310000,PSE Weekly Report
2019-05-09,4623113000,6248698000,-1625585000,10871811000,PSE Weekly Report
2019-05-10,3643075000,4331321000,-688246000,7974396000,PSE Weekly Report
2019-05-14,7219986000,8676117000,-1456131000,15896103000,PSE Weekly Report
2019-05-15,3177212000,4336460000,-1159248000,7513672000,PSE Weekly Report
2019-05-16,3890875000,5744642000,-1853767000,9635517000,PSE Weekly Report
2019-05-17,4369325000,5756081000,-1386756000,10125406000,PSE Weekly Report
2019-05-20,1950769000,2830333000,-879564000,4781102000,PSE Weekly Report
2019-05-21,2941414000,3269217000,-327803000,6210631000,PSE Weekly Report
2019-05-22,3677431000,7199422000,-3521991000,10876853000,PSE Weekly Report
2019-05-23,4712306000,4889716000,-177410000,9602021000,PSE Weekly Report
2019-05-24,3855635000,4591716000,-736081000,8447351000,PSE Weekly Report
2019-05-27,3223168000,3612145000,-388977000,6835313000,PSE Weekly Report
2019-05-28,14221602000,14854188000,-632586000,29075789000,PSE Weekly Report
2019-05-29,3020863000,3325728000,-304865000,6346591000,PSE Weekly Report
2019-05-30,3515519000,3123020000,392499000,6638539000,PSE Weekly Report
2019-05-31,5223969000,4489554000,734415000,9713523000,PSE Weekly Report
2019-06-03,5885979000,4458275000,1427704000,10344254000,PSE Weekly Report
2019-06-04,7258130000,7995513000,-737383000,15253643000,PSE Weekly Report
2019-06-06,4794813000,5220100000,-425287000,10014914000,PSE Weekly Report
2019-06-07,1795581000,2368904000,-573323000,4164485000,PSE Weekly Report
2019-06-10,5313400000,3863710000,1449690000,9177110000,PSE Weekly Report
2019-06-11,5016340000,4772317000,244023000,9788656000,PSE Weekly Report
2019-06-13,6333532000,6014552000,318980000,12348084000,PSE Weekly Report
2019-06-14,5152618000,5540725000,-388107000,10693344000,PSE Weekly Report
2019-06-17,2562536000,3149964000,-587428000,5712500000,PSE Weekly Report
2019-06-18,5704867000,5531322000,173545000,11236189000,PSE Weekly Report
2019-06-19,4192226000,4218658000,-26432000,8410884000,PSE Weekly Report
2019-06-20,3148022000,3736099000,-588077000,6884121000,PSE Weekly Report
2019-06-21,6566323000,6710306000,-143983000,13276629000,PSE Weekly Report
2019-06-24,2497783000,2479214000,18569000,4976996000,PSE Weekly Report
2019-06-25,2931871000,3112438000,-180567000,6044309000,PSE Weekly Report
