year,month,buying_php,selling_php,net_php,trading_days,source
2019,4,7968980000,7598604000,370376000,2,PSE Weekly Report
2019,5,92355168000,106533335000,-14178167000,21,PSE Weekly Report
2019,6,87183994000,94288946000,-7104952000,18,PSE Weekly Report
2019,7,78787244000,74671087000,4116157000,23,PSE Weekly Report
2019,8,76922388000,88739592000,-11817204000,19,PSE Weekly Report
2019,9,76004495000,83460082000,-7455587000,21,PSE Weekly Report
2019,10,76104609000,72393983000,3710626000,23,PSE Weekly Report
2019,11,72620075000,85775143000,-13155068000,20,PSE Weekly Report
2019,12,75237650000,84002882000,-8765232000,18,PSE Weekly Report
2020,1,71396975000,79753522000,-8356547000,21,PSE Weekly Report
2020,2,71346828000,80481907000,-9135079000,19,PSE Weekly Report
2020,3,69048910000,84479421000,-15430511000,20,PSE Weekly Report
2020,4,47165042000,63633301000,-16468259000,20,PSE Weekly Report
2020,5,56187024000,64553592000,-8366568000,19,PSE Weekly Report
2020,6,68501475000,77990410000,-9488935000,21,PSE Weekly Report
2020,7,55518185000,61603605000,-6085420000,22,PSE Weekly Report
2020,8,48026255000,60777611000,-12751356000,19,PSE Weekly Report
2020,9,44314982000,59160706000,-14845724000,22,PSE Weekly Report
2020,10,72264263000,79863918000,-7599655000,22,PSE Weekly Report
2020,11,104880394000,112982112000,-8101718000,18,PSE Weekly Report
2020,12,53615850000,61812175000,-8196325000,16,PSE Weekly Report
2021,1,49198334000,62303901000,-13105567000,20,PSE Weekly Report
2021,2,49725919000,58990644000,-9264725000,18,PSE Weekly Report
2021,3,55890100000,79312212000,-23422112000,23,PSE Weekly Report
2021,4,34257045000,47746932000,-13489887000,19,PSE Weekly Report
2021,5,65425857000,76935478000,-11509621000,20,PSE Weekly Report
2021,6,74738304000,78696181000,-3957877000,22,PSE Weekly Report
2021,7,40292131000,49435842000,-9143711000,21,PSE Weekly Report
2021,8,59394061000,57786496000,1607565000,21,PSE Weekly Report
2021,9,71904297000,74387921000,-2483624000,22,PSE Weekly Report
2021,10,74633777000,74226782000,406995000,21,PSE Weekly Report
2021,11,100773561000,100522459000,251102000,20,PSE Weekly Report
2021,12,153576530000,67382777000,86193753000,21,PSE Weekly Report
2022,1,41274800000,44156515000,-2881715000,20,PSE Weekly Report
2022,2,71690102000,64443940000,7246162000,18,PSE Weekly Report
2022,3,87952300000,98645566000,-10693266000,23,PSE Weekly Report
2022,4,41333752000,46484857000,-5151105000,19,PSE Weekly Report
2022,5,93333117000,111651556000,-18318439000,20,PSE Weekly Report
2022,6,51806472000,62929902000,-11123430000,22,PSE Weekly Report
2022,7,41228156000,45722610000,-4494454000,21,PSE Weekly Report
2022,8,69660228000,78157113000,-8496885000,22,PSE Weekly Report
2022,9,61177761000,74030024000,-12852263000,21,PSE Weekly Report
2022,10,46852505000,47535183000,-682678000,20,PSE Weekly Report
2022,11,68894850000,63181405000,5713445000,20,PSE Weekly Report
2022,12,47393062000,53450598000,-6057536000,19,PSE Weekly Report
2023,1,65091210000,58396225000,6694985000,21,PSE Weekly Report
2023,2,69740611000,77580093000,-7839482000,19,PSE Weekly Report
2023,3,62493504000,90362179000,-27868675000,23,PSE Weekly Report
2023,4,39910779000,38005241000,1905538000,16,PSE Weekly Report
2023,5,68283884000,72813164000,-4529280000,22,PSE Weekly Report
2023,6,60944915000,55532590000,5412325000,20,PSE Weekly Report
2023,7,58308858000,40065868000,18242990000,21,PSE Weekly Report
2023,8,45719573000,53095938000,-7376365000,21,PSE Weekly Report
2023,9,52714153000,79183853000,-26469700000,21,PSE Weekly Report
2023,10,44911062000,54616215000,-9705153000,21,PSE Weekly Report
2023,11,40600111000,39572219000,1027892000,19,PSE Weekly Report
2023,12,43853371000,42848196000,1005175000,18,PSE Weekly Report
2024,1,66687183000,62226592000,4460591000,22,PSE Weekly Report
2024,2,57642222000,50434359000,7207863000,20,PSE Weekly Report
2024,3,65017227000,67582984000,-2565757000,19,PSE Weekly Report
2024,4,49657057000,73372562000,-23715505000,20,PSE Weekly Report
2024,5,71851274000,81932255000,-10080981000,22,PSE Weekly Report
2024,6,38996932000,45126085000,-6129153000,18,PSE Weekly Report
2024,7,58598344000,55093367000,3504977000,22,PSE Weekly Report
2024,8,61781835000,53715183000,8066652000,20,PSE Weekly Report
2024,9,84008923000,64649662000,19359261000,21,PSE Weekly Report
2024,10,62777169000,61615576000,1161593000,23,PSE Weekly Report
2024,11,49670851000,70134216000,-20463365000,20,PSE Weekly Report
2024,12,49847990000,55907612000,-6059622000,18,PSE Weekly Report
2025,1,52249723000,58916300000,-6666577000,21,PSE Weekly Report
2025,2,67112801000,75518779000,-8405978000,20,PSE Weekly Report
2025,3,73451707000,70605859000,2845848000,21,PSE Weekly Report
