rank,ticker,company,market_cap_php,share_of_domestic_pct,as_of,source
1,ICT,"International Container Terminal Services, Inc.",1890000000000,14.69,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
2,SM,SM Investments Corporation,674310000000,5.24,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
3,BDO,"BDO Unibank, Inc.",641840000000,4.99,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
4,BPI,Bank of the Philippine Islands,558240000000,4.34,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
5,SMPH,"SM Prime Holdings, Inc.",524120000000,4.07,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
6,MER,Manila Electric Company,518909999999,4.03,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
7,AP,Aboitiz Power Corporation,327150000000,2.54,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
8,AC,Ayala Corporation,308350000000,2.40,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
9,MBT,Metropolitan Bank & Trust Company,296150000000,2.30,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
10,VLC,Villar Land Holdings Corp.,288560000000,2.24,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
11,FB,"San Miguel Food and Beverage, Inc.",278920000000,2.17,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
12,TEL,PLDT Inc.,248250000000,1.93,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
13,EMI,Emperador Inc.,242860000000,1.89,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
14,GLO,"Globe Telecom, Inc.",228950000000,1.78,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
15,ALI,"Ayala Land, Inc.",214390000000,1.67,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
16,AEV,"Aboitiz Equity Ventures, Inc.",211010000000,1.64,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
17,JFC,Jollibee Foods Corporation,172590000000,1.34,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
18,LTG,"LT Group, Inc.",165060000000,1.28,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
19,JGS,"JG Summit Holdings, Inc.",153800000000,1.20,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
20,AREIT,"AREIT, Inc.",152970000000,1.19,2026-09-04,stockanalysis.com PSE list (cross-listings excluded)
