date,ticker,close,value_php,source
2014-01-02,ABG,10.18,29078.0,PSE Edge
2014-01-03,ABG,10.3,44182.0,PSE Edge
2014-01-06,ABG,10.3,11328.0,PSE Edge
2014-01-07,ABG,11.7,127032.0,PSE Edge
2014-01-08,ABG,11.5,31828.0,PSE Edge
2014-01-09,ABG,11.2,18750.0,PSE Edge
2014-01-10,ABG,11.5,106056.0,PSE Edge
2014-01-13,ABG,12.0,111540.0,PSE Edge
2014-01-14,ABG,11.92,233994.0,PSE Edge
2014-01-15,ABG,11.9,572000.0,PSE Edge
2014-01-16,ABG,11.9,126400.0,PSE Edge
2014-01-17,ABG,11.94,8294.0,PSE Edge
2014-01-20,ABG,11.8,3584.0,PSE Edge
2014-01-21,ABG,11.98,70382.0,PSE Edge
2014-01-22,ABG,11.92,107944.0,PSE Edge
2014-01-23,ABG,12.5,54074.0,PSE Edge
2014-01-24,ABG,12.3,126046.0,PSE Edge
2014-01-27,ABG,12.2,13320.0,PSE Edge
2014-01-28,ABG,12.1,69028.0,PSE Edge
2014-01-29,ABG,11.88,162480.0,PSE Edge
2014-01-30,ABG,11.6,3548.0,PSE Edge
2014-02-03,ABG,11.5,16230.0,PSE Edge
2014-02-04,ABG,11.6,95382.0,PSE Edge
2014-02-05,ABG,11.6,124100.0,PSE Edge
2014-02-06,ABG,11.4,98034.0,PSE Edge
2014-02-07,ABG,11.42,27592.0,PSE Edge
2014-02-10,ABG,11.38,42390.0,PSE Edge
2014-02-11,ABG,11.5,63272.0,PSE Edge
2014-02-12,ABG,11.28,215070.0,PSE Edge
2014-02-13,ABG,11.3,65986.0,PSE Edge
2014-02-14,ABG,11.38,96542.0,PSE Edge
2014-02-17,ABG,11.3,3406.0,PSE Edge
2014-02-18,ABG,11.3,179322.0,PSE Edge
2014-02-19,ABG,11.5,168080.0,PSE Edge
2014-02-20,ABG,11.68,351962.0,PSE Edge
2014-02-21,ABG,12.02,439060.0,PSE Edge
2014-02-24,ABG,12.5,401432.0,PSE Edge
2014-02-25,ABG,12.7,155394.0,PSE Edge
2014-02-26,ABG,12.9,430350.0,PSE Edge
2014-02-27,ABG,12.8,112052.0,PSE Edge
2014-02-28,ABG,12.9,282140.0,PSE Edge
2014-03-03,ABG,12.9,9050.0,PSE Edge
2014-03-04,ABG,12.9,36410.0,PSE Edge
2014-03-05,ABG,13.88,606580.0,PSE Edge
2014-03-06,ABG,13.3,879726.0,PSE Edge
2014-03-07,ABG,13.28,80008.0,PSE Edge
2014-03-10,ABG,13.18,165912.0,PSE Edge
2014-03-11,ABG,12.98,44582.0,PSE Edge
2014-03-12,ABG,12.62,53130.0,PSE Edge
2014-03-13,ABG,12.36,17600.0,PSE Edge
2014-03-14,ABG,11.9,400150.0,PSE Edge
2014-03-17,ABG,11.7,16700.0,PSE Edge
2014-03-18,ABG,11.74,2364.0,PSE Edge
2014-03-19,ABG,11.76,11744.0,PSE Edge
2014-03-20,ABG,11.72,7048.0,PSE Edge
2014-03-21,ABG,11.66,125224.0,PSE Edge
2014-03-24,ABG,11.6,213386.0,PSE Edge
2014-03-25,ABG,11.6,221424.0,PSE Edge
2014-03-26,ABG,11.3,132686.0,PSE Edge
2014-03-27,ABG,11.2,84410.0,PSE Edge
2014-03-28,ABG,11.0,164492.0,PSE Edge
2014-03-31,ABG,10.92,137440.0,PSE Edge
2014-04-01,ABG,10.8,142254.0,PSE Edge
2014-04-02,ABG,10.76,70130.0,PSE Edge
2014-04-03,ABG,10.8,152464.0,PSE Edge
2014-04-04,ABG,10.7,101682.0,PSE Edge
2014-04-07,ABG,10.6,111652.0,PSE Edge
2014-04-08,ABG,10.62,53224.0,PSE Edge
2014-04-10,ABG,10.62,21334.0,PSE Edge
2014-04-11,ABG,10.66,81370.0,PSE Edge
2014-04-14,ABG,10.62,14948.0,PSE Edge
2014-04-15,ABG,10.64,12770.0,PSE Edge
2014-04-16,ABG,10.66,334532.0,PSE Edge
2014-04-21,ABG,10.88,24966.0,PSE Edge
2014-04-22,ABG,10.66,248792.0,PSE Edge
2014-04-23,ABG,10.74,1280924.0,PSE Edge
2014-04-24,ABG,11.72,779176.0,PSE Edge
2014-04-25,ABG,11.42,367682.0,PSE Edge
2014-04-28,ABG,11.0,35690.0,PSE Edge
2014-04-29,ABG,11.0,152520.0,PSE Edge
2014-04-30,ABG,11.0,83942.0,PSE Edge
2014-05-02,ABG,11.3,3344216.0,PSE Edge
2014-05-05,ABG,11.7,3107042.0,PSE Edge
2014-05-06,ABG,11.8,1210798.0,PSE Edge
2014-05-07,ABG,11.9,1777730.0,PSE Edge
2014-05-08,ABG,11.96,1131646.0,PSE Edge
2014-05-09,ABG,12.0,1267568.0,PSE Edge
2014-05-12,ABG,11.98,1639586.0,PSE Edge
2014-05-13,ABG,11.9,1172916.0,PSE Edge
2014-05-14,ABG,11.3,629548.0,PSE Edge
2014-05-15,ABG,11.26,1225802.0,PSE Edge
2014-05-16,ABG,11.02,531436.0,PSE Edge
2014-05-19,ABG,10.8,535578.0,PSE Edge
2014-05-20,ABG,10.8,239180.0,PSE Edge
2014-05-21,ABG,10.82,476952.0,PSE Edge
2014-05-22,ABG,10.6,372790.0,PSE Edge
2014-05-23,ABG,10.56,949186.0,PSE Edge
2014-05-26,ABG,10.98,75736.0,PSE Edge
2014-05-28,ABG,10.8,3280.0,PSE Edge
2014-05-29,ABG,10.9,110110.0,PSE Edge
2014-05-30,ABG,10.8,150578.0,PSE Edge
2014-06-03,ABG,10.98,3258.0,PSE Edge
2014-06-04,ABG,10.96,188608.0,PSE Edge
2014-06-05,ABG,10.84,653324.0,PSE Edge
2014-06-06,ABG,10.5,215132.0,PSE Edge
2014-06-09,ABG,10.5,20350.0,PSE Edge
2014-06-10,ABG,10.48,508562.0,PSE Edge
2014-06-11,ABG,10.8,2188.0,PSE Edge
2014-06-13,ABG,10.5,63210.0,PSE Edge
2014-06-16,ABG,10.88,3284.0,PSE Edge
2014-06-17,ABG,11.0,6280.0,PSE Edge
2014-06-18,ABG,10.98,2198.0,PSE Edge
2014-06-19,ABG,10.8,5434.0,PSE Edge
2014-06-20,ABG,11.0,24158.0,PSE Edge
2014-06-23,ABG,10.98,2198.0,PSE Edge
2014-06-24,ABG,10.98,30746.0,PSE Edge
2014-06-25,ABG,10.8,116620.0,PSE Edge
2014-06-26,ABG,10.56,105634.0,PSE Edge
2014-06-27,ABG,10.74,127760.0,PSE Edge
2014-06-30,ABG,10.74,47888.0,PSE Edge
2014-07-01,ABG,10.88,1088.0,PSE Edge
2014-07-02,ABG,10.76,11806.0,PSE Edge
2014-07-03,ABG,10.74,2152.0,PSE Edge
2014-07-04,ABG,10.9,19110.0,PSE Edge
2014-07-07,ABG,10.9,2182.0,PSE Edge
2014-07-08,ABG,10.8,13114.0,PSE Edge
2014-07-09,ABG,10.78,1078.0,PSE Edge
2014-07-10,ABG,10.7,12848.0,PSE Edge
2014-07-11,ABG,10.72,2148.0,PSE Edge
2014-07-14,ABG,10.64,116414.0,PSE Edge
2014-07-15,ABG,10.36,112956.0,PSE Edge
2014-07-17,ABG,10.36,64292.0,PSE Edge
2014-07-18,ABG,10.48,12600.0,PSE Edge
2014-07-21,ABG,10.38,36556.0,PSE Edge
2014-07-22,ABG,10.5,55040.0,PSE Edge
2014-07-23,ABG,10.56,16730.0,PSE Edge
2014-07-24,ABG,10.6,1060.0,PSE Edge
2014-07-25,ABG,10.46,35862.0,PSE Edge
2014-07-28,ABG,10.44,14408.0,PSE Edge
2014-07-30,ABG,10.38,34836.0,PSE Edge
2014-07-31,ABG,10.46,9350.0,PSE Edge
2014-08-01,ABG,10.44,64114.0,PSE Edge
2014-08-04,ABG,10.4,21744.0,PSE Edge
2014-08-06,ABG,10.2,267814.0,PSE Edge
2014-08-07,ABG,10.4,65248.0,PSE Edge
2014-08-08,ABG,10.2,104024.0,PSE Edge
2014-08-11,ABG,10.2,165864.0,PSE Edge
2014-08-12,ABG,10.0,302284.0,PSE Edge
2014-08-13,ABG,10.02,2038.0,PSE Edge
2014-08-14,ABG,10.16,3066.0,PSE Edge
2014-08-15,ABG,10.02,154438.0,PSE Edge
2014-08-18,ABG,10.02,25086.0,PSE Edge
2014-08-19,ABG,10.02,30152.0,PSE Edge
2014-08-20,ABG,10.06,2044.0,PSE Edge
2014-08-22,ABG,10.06,14204.0,PSE Edge
2014-08-26,ABG,10.1,18198.0,PSE Edge
