year,month,turnover_php,trading_days,avg_daily_php,universe,source
2014,1,106043190208,21,5049675724,80,PSE Edge
2014,2,117571279639,20,5878563982,80,PSE Edge
2014,3,150839282867,21,7182822994,80,PSE Edge
2014,4,127163727760,19,6692827777,80,PSE Edge
2014,5,149108716346,21,7100415064,80,PSE Edge
2014,6,109375156081,20,5468757804,80,PSE Edge
2014,7,108545305554,21,5168824074,80,PSE Edge
2014,8,156664788932,19,8245515207,80,PSE Edge
2014,9,149820781030,21,7134322906,80,PSE Edge
2014,10,129096273592,22,5868012436,80,PSE Edge
2014,11,122755929538,20,6137796477,80,PSE Edge
2014,12,118286720153,17,6958042362,80,PSE Edge
2015,1,138194256278,18,7677458682,80,PSE Edge
2015,2,128809915388,19,6779469231,80,PSE Edge
2015,3,155812683191,22,7082394690,80,PSE Edge
2015,4,143834807986,19,7570253052,80,PSE Edge
2015,5,143605636211,20,7180281811,80,PSE Edge
2015,6,123745512642,21,5892643459,80,PSE Edge
2015,7,143475510535,22,6521614115,80,PSE Edge
2015,8,124523285476,19,6553857130,80,PSE Edge
2015,9,119719094346,21,5700909255,80,PSE Edge
2015,10,111784268414,22,5081103110,80,PSE Edge
2015,11,92843381594,18,5157965644,80,PSE Edge
2015,12,81703533556,19,4300185977,80,PSE Edge
2016,1,95537726475,20,4776886324,80,PSE Edge
2016,2,91920586734,19,4837925618,80,PSE Edge
2016,3,125931532692,21,5996739652,80,PSE Edge
2016,4,96379419612,21,4589496172,80,PSE Edge
2016,5,165641687579,21,7887699409,80,PSE Edge
2016,6,138770153390,22,6307734245,80,PSE Edge
2016,7,123109358118,20,6155467906,80,PSE Edge
2016,8,136674803892,22,6212491086,80,PSE Edge
2016,9,135100689174,21,6433366151,80,PSE Edge
2016,10,114228669669,20,5711433483,80,PSE Edge
2016,11,125380823274,20,6269041164,80,PSE Edge
2016,12,90863352766,20,4543167638,80,PSE Edge
2017,1,96787448466,21,4608926117,80,PSE Edge
2017,2,100405438301,20,5020271915,80,PSE Edge
2017,3,120622784123,23,5244468875,80,PSE Edge
2017,4,86897200666,17,5111600039,80,PSE Edge
2017,5,139711930561,22,6350542298,80,PSE Edge
2017,6,151963593393,20,7598179670,80,PSE Edge
2017,7,101543330904,21,4835396710,80,PSE Edge
2017,8,95022229072,21,4524868051,80,PSE Edge
2017,9,105955782094,19,5576620110,80,PSE Edge
2017,10,105118344715,20,5255917236,80,PSE Edge
2017,11,113222958030,20,5661147902,80,PSE Edge
2017,12,89935641466,19,4733454814,80,PSE Edge
2018,1,136437112594,21,6497005362,80,PSE Edge
2018,2,100786028438,19,5304527813,80,PSE Edge
2018,3,110835094003,20,5541754700,80,PSE Edge
2018,4,86985728668,20,4349286433,80,PSE Edge
2018,5,96109720902,21,4576653376,80,PSE Edge
2018,6,93230685645,19,4906878192,80,PSE Edge
2018,7,76204933390,22,3463860609,80,PSE Edge
2018,8,89936731238,21,4282701488,80,PSE Edge
2018,9,98801663576,20,4940083179,80,PSE Edge
2018,10,80080414458,23,3481757150,80,PSE Edge
2018,11,99305503470,19,5226605446,80,PSE Edge
2018,12,92389346430,18,5132741468,80,PSE Edge
2019,1,128537779670,22,5842626349,80,PSE Edge
2019,2,98080143218,18,5448896845,80,PSE Edge
2019,3,105717922228,21,5034186773,80,PSE Edge
2019,4,85137679718,19,4480930511,80,PSE Edge
2019,5,129948042553,21,6188002026,80,PSE Edge
2019,6,91464122010,18,5081340112,80,PSE Edge
2019,7,110763363262,23,4815798403,80,PSE Edge
2019,8,109913468985,19,5784919420,80,PSE Edge
2019,9,93834063582,21,4468288742,80,PSE Edge
2019,10,93227041360,23,4053349624,80,PSE Edge
2019,11,103757319392,20,5187865970,80,PSE Edge
2019,12,89792550007,18,4988475000,80,PSE Edge
2020,1,94663703075,21,4507795385,80,PSE Edge
2020,2,92754607946,19,4881821471,80,PSE Edge
2020,3,114536054650,20,5726802733,80,PSE Edge
2020,4,89938165407,20,4496908270,80,PSE Edge
2020,5,85300714137,19,4489511270,80,PSE Edge
2020,6,121693690628,21,5794937649,80,PSE Edge
2020,7,81837604148,22,3719891098,80,PSE Edge
2020,8,119772496358,19,6303815598,80,PSE Edge
2020,9,79326327854,22,3605742175,80,PSE Edge
2020,10,110305201084,22,5013872777,80,PSE Edge
2020,11,151631744694,18,8423985816,80,PSE Edge
2020,12,107507019028,18,5972612168,80,PSE Edge
2021,1,96151656306,20,4807582815,80,PSE Edge
2021,2,120147294733,18,6674849707,80,PSE Edge
2021,3,95786254572,23,4164619764,80,PSE Edge
2021,4,67497776410,19,3552514548,80,PSE Edge
2021,5,100965783932,20,5048289197,80,PSE Edge
2021,6,106536913716,22,4842586987,80,PSE Edge
2021,7,81118439287,21,3862782823,80,PSE Edge
2021,8,114456437676,21,5450306556,80,PSE Edge
2021,9,140404996988,22,6382045318,80,PSE Edge
2021,10,159142456008,21,7578212191,80,PSE Edge
2021,11,154741976878,20,7737098844,80,PSE Edge
2021,12,158998099473,21,7571338070,80,PSE Edge
2022,1,113949934092,20,5697496705,80,PSE Edge
2022,2,188061506959,18,10447861498,80,PSE Edge
2022,3,167720843551,23,7292210589,80,PSE Edge
2022,4,94190337129,19,4957386165,80,PSE Edge
2022,5,213022653499,20,10651132675,80,PSE Edge
2022,6,125445067141,22,5702048506,80,PSE Edge
2022,7,105864165638,21,5041150745,80,PSE Edge
2022,8,145437424364,22,6610792017,80,PSE Edge
2022,9,123161260948,21,5864821950,80,PSE Edge
2022,10,80658569252,19,4245187855,80,PSE Edge
2022,11,122087884082,20,6104394204,80,PSE Edge
2022,12,105699575186,19,5563135536,80,PSE Edge
2023,1,153105071263,21,7290717679,80,PSE Edge
2023,2,126402784479,19,6652778130,80,PSE Edge
2023,3,133413655388,23,5800593713,80,PSE Edge
2023,4,68456810608,16,4278550663,80,PSE Edge
2023,5,102394868132,22,4654312188,80,PSE Edge
2023,6,96875715464,20,4843785773,80,PSE Edge
2023,7,67575100245,21,3217861916,80,PSE Edge
2023,8,99604638392,21,4743078019,80,PSE Edge
2023,9,94274848028,21,4489278478,80,PSE Edge
2023,10,89891000708,21,4280523843,80,PSE Edge
2023,11,63128597748,19,3322557776,80,PSE Edge
2023,12,68711253076,18,3817291838,80,PSE Edge
2024,1,94168735381,22,4280397063,80,PSE Edge
2024,2,94269052603,20,4713452630,80,PSE Edge
2024,3,114688374976,19,6036230262,80,PSE Edge
2024,4,104869443822,20,5243472191,80,PSE Edge
2024,5,131797843192,22,5990811054,80,PSE Edge
2024,6,80523003675,18,4473500204,80,PSE Edge
2024,7,88327186796,22,4014872127,80,PSE Edge
2024,8,107687716775,20,5384385839,80,PSE Edge
2024,9,132432353274,21,6306302537,80,PSE Edge
2024,10,109248145906,23,4749919387,80,PSE Edge
2024,11,105097934180,20,5254896709,80,PSE Edge
2024,12,76823842403,18,4267991245,80,PSE Edge
2025,1,96694122181,21,4604482009,80,PSE Edge
2025,2,118442210524,20,5922110526,80,PSE Edge
2025,3,116843473196,21,5563974914,80,PSE Edge
2025,4,101109256262,18,5617180903,80,PSE Edge
2025,5,122486794674,20,6124339734,80,PSE Edge
2025,6,112251063604,19,5907950716,80,PSE Edge
2025,7,143313337732,23,6231014684,80,PSE Edge
2025,8,131460977768,19,6918998830,80,PSE Edge
2025,9,118398796030,22,5381763456,80,PSE Edge
2025,10,101616630298,22,4618937741,80,PSE Edge
2025,11,131454611406,20,6572730570,80,PSE Edge
2025,12,97864920818,18,5436940045,80,PSE Edge
2026,1,135547037342,21,6454620826,80,PSE Edge
2026,2,117793057681,19,6199634615,80,PSE Edge
2026,3,138099867660,21,6576184174,80,PSE Edge
2026,4,107998515690,19,5684132405,80,PSE Edge
2026,5,113682874655,19,5983309192,80,PSE Edge
2026,6,148780956776,21,7084807466,80,PSE Edge
2026,7,127959575616,23,5563459809,80,PSE Edge
2026,8,107560600496,19,5661084237,80,PSE Edge
2026,9,16855645832,3,5618548610,80,PSE Edge
