ticker,pe_ratio,forward_pe,dividend_yield_pct,market_cap,as_of,source
AC,5.33,6.05,2.00,308.35B,2026-09-04,stockanalysis.com
ACEN,21.58,12.43,1.83,107.87B,2026-09-04,stockanalysis.com
AEV,8.96,6.80,2.90,211.01B,2026-09-04,stockanalysis.com
ALI,5.91,8.13,3.88,214.39B,2026-09-04,stockanalysis.com
AREIT,13.12,12.85,6.85,152.97B,2026-09-04,stockanalysis.com
BDO,7.45,6.96,3.64,645.05B,2026-09-04,stockanalysis.com
BPI,8.38,7.78,4.96,558.24B,2026-09-04,stockanalysis.com
CBC,4.90,4.97,5.26,144.12B,2026-09-04,stockanalysis.com
CNPF,15.52,14.42,3.57,113.35B,2026-09-04,stockanalysis.com
DMC,6.11,6.44,10.16,105.95B,2026-09-04,stockanalysis.com
EMI,67.08,41.13,0.88,242.86B,2026-09-04,stockanalysis.com
GLO,11.57,10.43,6.32,228.95B,2026-09-04,stockanalysis.com
GTCAP,3.43,3.30,2.02,107.43B,2026-09-04,stockanalysis.com
ICT,26.95,23.58,2.05,1.89T,2026-09-04,stockanalysis.com
JFC,17.70,13.46,2.26,172.59B,2026-09-04,stockanalysis.com
JGS,5.99,5.80,2.11,153.80B,2026-09-04,stockanalysis.com
LTG,5.00,5.64,8.25,165.06B,2026-09-04,stockanalysis.com
MBT,5.95,5.54,7.61,296.15B,2026-09-04,stockanalysis.com
MER,9.65,9.92,6.01,518.91B,2026-09-04,stockanalysis.com
MONDE,12.21,11.43,6.94,122.55B,2026-09-04,stockanalysis.com
MYNLD,7.80,7.86,6.13,137.69B,2026-09-04,stockanalysis.com
PGOLD,9.74,9.21,4.93,116.65B,2026-09-04,stockanalysis.com
PLUS,3.20,3.67,8.28,45.00B,2026-09-04,stockanalysis.com
RCR,4.32,13.59,6.29,136.84B,2026-09-04,stockanalysis.com
SCC,5.50,4.29,19.01,72.68B,2026-09-04,stockanalysis.com
SM,7.19,7.07,3.05,674.31B,2026-09-04,stockanalysis.com
SMC,40.71,,2.21,151.38B,2026-09-04,stockanalysis.com
SMPH,10.77,10.66,2.30,524.12B,2026-09-04,stockanalysis.com
TEL,8.58,7.05,8.21,248.25B,2026-09-04,stockanalysis.com
URC,11.70,10.26,3.56,125.85B,2026-09-04,stockanalysis.com
