year,close,change_pct,last_trading_day,source
1987,816.21,,1987-12-29,Yahoo PSEI.PS
1988,839.00,2.79,1988-12-30,Yahoo PSEI.PS
1989,1110.64,32.38,1989-12-29,Yahoo PSEI.PS
1990,653.11,-41.20,1990-12-28,Yahoo PSEI.PS
1991,1154.26,76.73,1991-12-27,Yahoo PSEI.PS
1992,1272.40,10.24,1992-12-29,Yahoo PSEI.PS
1993,3241.86,154.78,1993-12-30,Yahoo PSEI.PS
1994,2785.81,-14.07,1994-12-29,Yahoo PSEI.PS
1995,2594.18,-6.88,1995-12-29,Yahoo PSEI.PS
1996,3170.56,22.22,1996-12-27,Yahoo PSEI.PS
1997,1869.23,-41.04,1997-12-29,Yahoo PSEI.PS
1998,1968.78,5.33,1998-12-29,Yahoo PSEI.PS
1999,2142.97,8.85,1999-12-29,Yahoo PSEI.PS
2000,1494.50,-30.26,2000-12-29,Yahoo PSEI.PS
2001,1168.08,-21.84,2001-12-28,Yahoo PSEI.PS
2002,1018.41,-12.81,2002-12-27,Yahoo PSEI.PS
2003,1442.37,41.63,2003-12-30,Yahoo PSEI.PS
2004,1822.83,26.38,2004-12-29,Yahoo PSEI.PS
2005,2096.04,14.99,2005-12-29,Yahoo PSEI.PS
2006,2982.54,42.29,2006-12-29,Yahoo PSEI.PS
2007,3621.60,21.43,2007-12-28,Yahoo PSEI.PS
2008,1872.85,-48.29,2008-12-24,Yahoo PSEI.PS
2009,3052.68,63.00,2009-12-29,Yahoo PSEI.PS
2010,4201.14,37.62,2010-12-30,Yahoo PSEI.PS
2011,4371.96,4.07,2011-12-29,Yahoo PSEI.PS
2012,5812.73,32.95,2012-12-28,Yahoo PSEI.PS
2013,5889.83,1.33,2013-12-27,Yahoo PSEI.PS
2014,7230.57,22.76,2014-12-29,Yahoo PSEI.PS
2015,6952.08,-3.85,2015-12-29,Yahoo PSEI.PS
2016,6840.64,-1.60,2016-12-29,Yahoo PSEI.PS
2017,8558.42,25.11,2017-12-29,Yahoo PSEI.PS
2018,7466.02,-12.76,2018-12-28,Yahoo PSEI.PS
2019,7815.26,4.68,2019-12-27,Yahoo PSEI.PS
2020,7139.71,-8.64,2020-12-29,Yahoo PSEI.PS
2021,7122.63,-0.24,2021-12-31,Yahoo PSEI.PS + PSE compositeSector
2022,6566.39,-7.81,2022-12-29,Yahoo PSEI.PS + PSE compositeSector
2023,6450.04,-1.77,2023-12-29,Yahoo PSEI.PS + PSE compositeSector
2024,6528.79,1.22,2024-12-27,Yahoo PSEI.PS + PSE compositeSector
2025,6052.92,-7.29,2025-12-29,Yahoo PSEI.PS + PSE compositeSector
