month,avg_return_pct,positive_share_pct,years,source
Jan,2.03,64,39,Yahoo PSEI.PS month-end closes
Feb,0.83,45,40,Yahoo PSEI.PS month-end closes
Mar,-0.35,50,40,Yahoo PSEI.PS month-end closes
Apr,1.38,60,40,Yahoo PSEI.PS month-end closes
May,1.53,55,40,Yahoo PSEI.PS month-end closes
Jun,1.30,57,40,Yahoo PSEI.PS month-end closes
Jul,1.43,65,40,Yahoo PSEI.PS month-end closes
Aug,-2.35,36,39,Yahoo PSEI.PS month-end closes
Sep,-1.65,48,40,Yahoo PSEI.PS month-end closes
Oct,2.02,62,39,Yahoo PSEI.PS month-end closes
Nov,0.41,54,39,Yahoo PSEI.PS month-end closes
Dec,3.21,69,39,Yahoo PSEI.PS month-end closes
