year,code,index,close,change_pct,last_trading_day,source
2021,PSEI,PSEi,7122.63,,2021-12-31,PSE compositeSector
2022,PSEI,PSEi,6566.39,-7.81,2022-12-29,PSE compositeSector
2023,PSEI,PSEi,6450.04,-1.77,2023-12-29,PSE compositeSector
2024,PSEI,PSEi,6528.79,1.22,2024-12-27,PSE compositeSector
2025,PSEI,PSEi,6052.92,-7.29,2025-12-29,PSE compositeSector
2021,ALL,All Shares,3818.12,,2021-12-31,PSE compositeSector
2022,ALL,All Shares,3462.04,-9.33,2022-12-29,PSE compositeSector
2023,ALL,All Shares,3424.59,-1.08,2023-12-29,PSE compositeSector
2024,ALL,All Shares,3748.51,9.46,2024-12-27,PSE compositeSector
2025,ALL,All Shares,3473.24,-7.34,2025-12-29,PSE compositeSector
2021,FIN,Financials,1606.17,,2021-12-31,PSE compositeSector
2022,FIN,Financials,1645.03,2.42,2022-12-29,PSE compositeSector
2023,FIN,Financials,1738.88,5.71,2023-12-29,PSE compositeSector
2024,FIN,Financials,2157.54,24.08,2024-12-27,PSE compositeSector
2025,FIN,Financials,2048.47,-5.06,2025-12-29,PSE compositeSector
2021,IND,Industrial,10404.09,,2021-12-31,PSE compositeSector
2022,IND,Industrial,9351.16,-10.12,2022-12-29,PSE compositeSector
2023,IND,Industrial,9075.91,-2.94,2023-12-29,PSE compositeSector
2024,IND,Industrial,9308.15,2.56,2024-12-27,PSE compositeSector
2025,IND,Industrial,8620.59,-7.39,2025-12-29,PSE compositeSector
2021,HDG,Holding Firms,6807.27,,2021-12-31,PSE compositeSector
2022,HDG,Holding Firms,6433.27,-5.49,2022-12-29,PSE compositeSector
2023,HDG,Holding Firms,6106.00,-5.09,2023-12-29,PSE compositeSector
2024,HDG,Holding Firms,5640.26,-7.63,2024-12-27,PSE compositeSector
2025,HDG,Holding Firms,4787.66,-15.12,2025-12-29,PSE compositeSector
2021,PRO,Property,3219.68,,2021-12-31,PSE compositeSector
2022,PRO,Property,2928.71,-9.04,2022-12-29,PSE compositeSector
2023,PRO,Property,2854.94,-2.52,2023-12-29,PSE compositeSector
2024,PRO,Property,2377.23,-16.73,2024-12-27,PSE compositeSector
2025,PRO,Property,2276.14,-4.25,2025-12-29,PSE compositeSector
2021,SVC,Services,1986.37,,2021-12-31,PSE compositeSector
2022,SVC,Services,1634.23,-17.73,2022-12-29,PSE compositeSector
2023,SVC,Services,1604.99,-1.79,2023-12-29,PSE compositeSector
2024,SVC,Services,2081.72,29.70,2024-12-27,PSE compositeSector
2025,SVC,Services,2378.54,14.26,2025-12-29,PSE compositeSector
2021,M-O,Mining & Oil,9601.70,,2021-12-31,PSE compositeSector
2022,M-O,Mining & Oil,10808.92,12.57,2022-12-29,PSE compositeSector
2023,M-O,Mining & Oil,10000.43,-7.48,2023-12-29,PSE compositeSector
2024,M-O,Mining & Oil,7829.66,-21.71,2024-12-27,PSE compositeSector
2025,M-O,Mining & Oil,15059.80,92.34,2025-12-29,PSE compositeSector
