char_bucket_start,label,rows,source
0,0,378,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
0,1,180,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
20,0,1546,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
20,1,1212,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
40,0,1842,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
40,1,1985,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
60,0,1853,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
60,1,2048,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
80,0,1620,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
80,1,1896,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
100,0,1557,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
100,1,1980,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
120,0,1317,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
120,1,2024,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
140,0,655,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
140,1,603,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
160,0,560,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
160,1,301,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
180,0,460,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
180,1,281,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
200,0,366,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
200,1,226,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
220,0,376,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
220,1,231,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
240,0,410,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
240,1,220,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
260,0,361,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
260,1,210,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
280,0,112,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
280,1,116,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
300,0,163,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
300,1,294,Hugging Face: mapsoriano/2016_2022_hate_speech_filipino
