year,total_arrivals,foreign_arrivals,overseas_filipinos,source
2010,3520000,,,World Bank ST.INT.ARVL
2011,3917000,,,World Bank ST.INT.ARVL
2012,4273000,,,World Bank ST.INT.ARVL
2013,4681000,,,World Bank ST.INT.ARVL
2014,4833000,,,World Bank ST.INT.ARVL
2015,5361000,,,World Bank ST.INT.ARVL
2016,5967000,,,World Bank ST.INT.ARVL
2017,6621000,,,World Bank ST.INT.ARVL
2018,7168000,,,World Bank ST.INT.ARVL
2019,8261000,,,World Bank ST.INT.ARVL
2020,1483000,,,World Bank ST.INT.ARVL
2021,163879,,,DOT (via BusinessMirror 2022-04-11)
2022,2653858,,,DOT (via Manila Times 2023-07-06)
2023,5450557,5450557,,DOT 2024 year-end statement
2024,5949350,5438967,510383,DOT 2024 year-end statement
2025,6484060,5940975,543085,DOT 2025 year-end (via IAG/asgam 2026-01-25)
