year,exports_usd_b,imports_usd_b,total_trade_usd_b,trade_balance_usd_b,source
2015,58.65,70.15,128.80,-11.50,WITS World Bank
2016,56.31,85.91,142.22,-29.60,WITS World Bank
2017,68.71,101.89,170.60,-33.18,WITS World Bank
2018,67.49,115.04,182.53,-47.55,WITS World Bank
2019,70.93,117.25,188.18,-46.32,WITS World Bank
2020,65.21,95.07,160.28,-29.86,WITS World Bank
2021,74.62,124.39,199.01,-49.77,WITS World Bank
2022,78.93,145.88,224.81,-66.95,WITS World Bank
2023,72.92,133.75,206.67,-60.83,WITS World Bank
2024,73.27,127.60,200.87,-54.33,PSA (via Metrobank Wealth Insights)
2025,84.40,,,,PSA via news
