city,incidents,pct_of_all,geocoded_in_ncr,source
Quezon City,8725,50.4,8725,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Mandaluyong,2978,17.2,2978,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Makati City,2431,14.04,2431,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Pasig City,1723,9.95,1723,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Pasay City,445,2.57,445,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Manila,354,2.04,354,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
(no city given),187,1.08,132,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
San Juan,121,0.7,121,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Marikina,119,0.69,119,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Parañaque,111,0.64,111,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Kalookan City,70,0.4,70,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Taguig,36,0.21,36,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Valenzuela,5,0.03,5,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Malabon,4,0.02,4,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
Navotas,3,0.02,3,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
