property,value,note,source
rows in file,17312,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
incidents kept,17312,rows with an unparseable date are dropped,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
first date,2018-08-20,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
last date,2020-12-27,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
calendar days in span,861,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
days with at least one report,715,146 day(s) in the span have no report at all,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
cities present,14,Metro Manila has 17 local government units,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
share in the single most-reported city,50.4,Quezon City,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
incidents usable on a map,17257,the rest have no coordinate inside Metro Manila,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
incidents with a usable time,17174,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
injury or fatality counts,0,"the tweets do not state them, so no severity is derived","Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
traffic volume,0,no denominator: an incident count is not a rate,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
city missing,187,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
city name double-encoded,107,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
"coordinates at exactly 0,0",55,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
incident type missing,57,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
month with no rows at all,2,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
time missing,122,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
time unparseable,16,fault found and flagged per row,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
