country,year,deaths_per_100k,source
Philippines,2000,9.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2001,9.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2002,10.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2003,10.1,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2004,10.1,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2005,10.1,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2006,9.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2007,10.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2008,10,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2009,10.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2010,11.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2011,10.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2012,10.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2013,10.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2014,10.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2015,12.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2016,12.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2017,11.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2018,11.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Philippines,2019,12,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2000,14.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2001,14.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2002,14.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2003,14.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2004,14.4,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2005,14.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2006,14.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2007,13.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2008,13.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2009,13.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2010,13.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2011,13.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2012,13,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2013,12.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2014,12.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2015,12.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2016,12.1,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2017,11.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2018,11.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Indonesia,2019,11.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2000,24.1,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2001,24.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2002,24.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2003,24.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2004,24.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2005,24.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2006,24.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2007,24.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2008,24.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2009,24.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2010,25.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2011,25.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2012,25.4,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2013,25,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2014,24.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2015,25.4,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2016,26.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2017,27.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2018,29.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Vietnam,2019,30.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2000,39,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2001,39.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2002,39.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2003,38.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2004,38.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2005,38.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2006,38.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2007,38.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2008,38.9,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2009,38.7,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2010,38.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2011,38.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2012,36.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2013,36,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2014,32.6,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2015,32.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2016,32.5,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2017,35.1,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2018,32.3,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Thailand,2019,32.2,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Malaysia,2000,26.8,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
Malaysia,2001,25.4,"WHO Global Health Observatory road traffic deaths, via World Bank WDI"
