incident_id,date,hour,city,location,latitude,longitude,incident_type,type_family,direction,lanes_blocked,faults,source
1,2018-08-20,7,Pasig City,ORTIGAS EMERALD,14.586343,121.061481,VEHICULAR ACCIDENT,vehicular accident,EB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
2,2018-08-20,8,Mandaluyong,EDSA GUADIX,14.589432,121.057243,STALLED L300 DUE TO MECHANICAL PROBLEM,stalled vehicle,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
3,2018-08-20,9,Makati City,EDSA ROCKWELL,14.559818,121.04073700000001,VEHICULAR ACCIDENT,vehicular accident,SB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
4,2018-08-20,8,Mandaluyong,EDSA GUADIX,14.589432,121.057243,STALLED L300 DUE TO MECHANICAL PROBLEM,stalled vehicle,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
5,2018-08-20,10,San Juan,ORTIGAS CLUB FILIPINO,14.601845999999998,121.046754,VEHICULAR ACCIDENT,vehicular accident,EB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
6,2018-08-20,11,Makati City,C5 KALAYAAN,14.556079,121.06293600000001,VEHICULAR ON FIRE,other,SB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
7,2018-08-20,12,Quezon City,EDSA ORTIGAS ROBINSONS,14.592514999999999,121.058225,VEHICULAR ACCIDENT,vehicular accident,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
8,2018-08-20,12,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,MULTIPLE COLLISION,multiple collision,NB,2.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
9,2018-08-20,12,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,MULTIPLE COLLISION,multiple collision,NB,2.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
10,2018-08-20,14,Quezon City,EDSA FARMERS,14.619717000000001,121.050978,VEHICULAR ACCIDENT,vehicular accident,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
11,2018-08-20,16,Pasig City,C5 LANUZA,14.577625,121.073462,STALLED TRUCK DUE TO MECHANICAL PROBLEM,stalled vehicle,SB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
12,2018-08-20,17,Quezon City,C5 ATENEO KATIPUNAN,14.638481,121.07453999999998,MULTIPLE COLLISION C5ENEO KAT,multiple collision,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
13,2018-08-20,18,Quezon City,EDSA BONI,14.638481,121.07453999999998,STALLED BUS DUE TO MECHANICAL DEFECT,stalled vehicle,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
14,2018-08-20,19,Marikina,MARCOS HIGHWAY LRT SANTOLAN,14.622242000000002,121.086405,VEHICULAR ACCIDENT,vehicular accident,EB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
15,2018-08-20,19,Pasay City,EDSA HERITAGE,14.537348000000001,120.99359299999999,VEHICULAR ACCIDENT,vehicular accident,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
16,2018-08-20,20,Pasig City,C5 ORTIGAS FLYOVER,14.589706,121.079945,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,stalled vehicle,NB,1.0,,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
