location,city,incidents,source
EDSA SHAW TUNNEL,Mandaluyong,306,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA GUADALUPE,Makati City,285,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA MEGAMALL,Mandaluyong,235,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA BUENDIA,Makati City,227,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA MAIN AVE,Quezon City,220,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 LANUZA,Pasig City,219,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA ORTIGAS FLYOVER,Mandaluyong,205,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 KALAYAAN,Makati City,196,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA BONI,Quezon City,193,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA RELIANCE,Mandaluyong,188,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA SANTOLAN FLYOVER,Quezon City,185,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA ORTIGAS,Mandaluyong,174,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA AYALA TUNNEL,Makati City,171,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA SHAW,Mandaluyong,171,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 ORTIGAS FLYOVER,Pasig City,161,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA PIONEER,Mandaluyong,160,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 GREENMEADOWS,Quezon City,158,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA SM NORTH,Quezon City,157,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA SANTOLAN,Quezon City,151,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 ORTIGAS,Pasig City,147,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA ESTRELLA,Makati City,143,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA AURORA TUNNEL,Quezon City,142,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
COMMONWEALTH TANDANG SORA,Pasig City,131,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 BAGONG ILOG FLYOVER,Pasig City,131,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
AURORA KATIPUNAN,Quezon City,130,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 BAGONG ILOG,Pasig City,127,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA MAGALLANES,Makati City,127,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
COMMONWEALTH LUZON,Quezon City,117,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA AYALA,Makati City,115,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 LIBIS,Quezon City,114,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
KATIPUNAN MIRIAM,Quezon City,114,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA P TUAZON,Quezon City,114,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA AURORA,Quezon City,109,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA GUADALUPE BRIDGE,Makati City,103,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA TIMOG,Quezon City,102,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA CONNECTICUT,Quezon City,102,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 MCKINLEY,Makati City,100,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA ERMIN GARCIA,Quezon City,99,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA KALAYAAN,Makati City,90,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA NEW YORK,Quezon City,86,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
MINDANAO CONGRESSIONAL,Quezon City,86,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 EASTWOOD,Quezon City,85,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA P TUAZON TUNNEL,Quezon City,83,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA GUADIX,Mandaluyong,82,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
ORTIGAS MERALCO,Pasig City,81,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA CENTRAL,Mandaluyong,81,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
KATIPUNAN ATENEO,Quezon City,80,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA HIGHWAY 54,Mandaluyong,74,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA STARMALL,Mandaluyong,73,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA MAGALLANES FLYOVER,Makati City,73,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
COMMONWEALTH PHILCOA,Quezon City,71,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA TIMOG FLYOVER,Quezon City,71,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA BALINTAWAK,Quezon City,69,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
COMMONWEALTH SANDIGAN,Quezon City,69,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA TRINOMA,Quezon City,66,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 CALLE INDUSTRIA,Quezon City,63,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA KAMUNING,Quezon City,61,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA WHITEPLAINS,Quezon City,60,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
EDSA SHAW BLVD,Mandaluyong,58,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
C5 MARKET MARKET,Makati City,57,"Kaggle esparko/mmda-traffic-incident-data (MMDA @mmda tweets, 2018-2020)"
