city,osm_relation_id,road_stops,rail_stations,source
Caloocan,273242,237,4,OpenStreetMap via Overpass API
Las Piñas,2095594,158,0,OpenStreetMap via Overpass API
Makati,103716,230,1,OpenStreetMap via Overpass API
Malabon,403176,105,1,OpenStreetMap via Overpass API
Mandaluyong,2284209,70,1,OpenStreetMap via Overpass API
Manila,103703,752,10,OpenStreetMap via Overpass API
Marikina,146949,57,0,OpenStreetMap via Overpass API
Muntinlupa,1346849,154,2,OpenStreetMap via Overpass API
Navotas,379812,47,0,OpenStreetMap via Overpass API
Parañaque,122940,200,1,OpenStreetMap via Overpass API
Pasay,113858,187,2,OpenStreetMap via Overpass API
Pasig,131703,177,2,OpenStreetMap via Overpass API
Pateros,131653,23,0,OpenStreetMap via Overpass API
Quezon City,106569,1219,19,OpenStreetMap via Overpass API
San Juan,2284210,59,0,OpenStreetMap via Overpass API
Taguig,184776,260,5,OpenStreetMap via Overpass API
Valenzuela,307470,34,1,OpenStreetMap via Overpass API
