name,route_type,operator,network,box,source
LRT Line 1,light_rail,Light Rail Manila Corporation,Manila LRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
LRT Line 1,light_rail,Light Rail Manila Corporation,Manila LRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
LRT Line 1: Dr. Santos to Monumento,light_rail,Light Rail Manila Corporation,Manila LRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
LRT Line 1: Monumento to Dr. Santos,light_rail,Light Rail Manila Corporation,Manila LRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
LRT Line 2: Antipolo to Recto,subway,Light Rail Transit Authority,Manila LRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
LRT Line 2: Recto to Antipolo,subway,Light Rail Transit Authority,Manila LRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
MRT Line 3: North Avenue → Taft Avenue,light_rail,Metro Rail Transit Corporation,Manila MRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
MRT Line 3: Taft Avenue → North Avenue),light_rail,Metro Rail Transit Corporation,Manila MRT,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
Metro Manila Subway: East Valenzuela → FTI,train,,Metro Manila Subway,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
Metro Manila Subway: FTI → East Valenzuela,train,,Metro Manila Subway,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
PNR Metro North Commuter Line: Governor Pascual → Tutuban,train,Philippine National Railways,PNR Metro Commuter,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
PNR Metro North Commuter Line: Tutuban → Governor Pascual,train,Philippine National Railways,PNR Metro Commuter,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
PNR Shuttle Service Line: FTI → Governor Pascual,train,Philippine National Railways,PNR Metro Commuter,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
PNR Shuttle Service Line: Governor Pascual → FTI,train,Philippine National Railways,PNR Metro Commuter,"14.35-14.80N,120.90-121.15E",OpenStreetMap via Overpass API
