property,value,note,source
observations in the archive,243281,western Pacific basin,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
storms in the archive,4105,1884 to 2024,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
storms entering the box,2905,all years,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
"storms entering the box, 1980-2024",957,everything on this page that is a rate or a trend uses only these,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
storms before 1945,1324,,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
observations before 1945 with no wind speed,100.0,"%, so no intensity of any kind can be computed for them","NOAA NCEI IBTrACS v04r01, western Pacific basin"
observations 1945-1969 with no wind speed,43.3,"%, aircraft reconnaissance era","NOAA NCEI IBTrACS v04r01, western Pacific basin"
observations since 1980 with no wind speed,19.2,"%, satellite era","NOAA NCEI IBTrACS v04r01, western Pacific basin"
first season used for rates and trends,1980,chosen because earlier storm counts measure observing capability rather than storm activity,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
last finalised season,2024,"derived from the archive, not fixed in the script: only TRACK_TYPE=main tracks are read, and the current season's are still PROVISIONAL, so the maximum season present is finalised by construction","NOAA NCEI IBTrACS v04r01, western Pacific basin"
"deaths, damage or people affected",0,"IBTrACS is a track archive. It carries no impact data at all, and this page makes no claim about what any storm cost","NOAA NCEI IBTrACS v04r01, western Pacific basin"
Philippine landfall points,0,"the landfall column gives distance to the nearest land, not which country. Storms recording a landfall inside the box may have made it on Taiwan or Vietnam","NOAA NCEI IBTrACS v04r01, western Pacific basin"
official PAR polygon,0,"the box 5-25N, 115-135E is the bounding rectangle of the Philippine Area of Responsibility, so counts here slightly exceed true PAR entries","NOAA NCEI IBTrACS v04r01, western Pacific basin"
PAGASA local storm names,0,"IBTrACS carries international names. Haiyan is Yolanda locally, and this page uses the international name throughout","NOAA NCEI IBTrACS v04r01, western Pacific basin"
