peak_sshs,peak_category,storms,pct_of_storms,source
-5,disturbance,75,7.84,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
-3,tropical depression,34,3.55,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
-2,subtropical,1,0.1,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
-1,tropical depression,156,16.3,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
0,tropical storm,255,26.65,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1,category 1,98,10.24,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2,category 2,74,7.73,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
3,category 3,55,5.75,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
4,category 4,129,13.48,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
5,category 5,80,8.36,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
