season,storms_in_box,storms_with_landfall_obs,pct_with_landfall,source
1980,21,16,76.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1981,23,12,52.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1982,20,11,55.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1983,24,9,37.5,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1984,22,9,40.9,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1985,28,9,32.1,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1986,24,12,50.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1987,20,9,45.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1988,25,12,48.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1989,23,10,43.5,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1990,26,14,53.8,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1991,21,12,57.1,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1992,20,10,50.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1993,28,17,60.7,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1994,27,12,44.4,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1995,23,15,65.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1996,23,14,60.9,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1997,18,6,33.3,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1998,21,10,47.6,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1999,22,11,50.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2000,22,9,40.9,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2001,21,11,52.4,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2002,15,7,46.7,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2003,22,10,45.5,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2004,24,10,41.7,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2005,17,8,47.1,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2006,19,12,63.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2007,16,8,50.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2008,21,11,52.4,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2009,20,11,55.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2010,13,6,46.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2011,20,8,40.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2012,21,8,38.1,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2013,25,13,52.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2014,22,11,50.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2015,16,10,62.5,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2016,17,8,47.1,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2017,25,14,56.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2018,25,9,36.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2019,22,6,27.3,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2020,24,13,54.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2021,19,9,47.4,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2022,20,5,25.0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2023,13,6,46.2,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2024,19,13,68.4,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
