month,storms,pct_of_storms,source
1,20,1.88,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2,12,1.13,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
3,19,1.79,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
4,26,2.44,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
5,50,4.7,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
6,90,8.46,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
7,163,15.32,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
8,184,17.29,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
9,175,16.45,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
10,151,14.19,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
11,109,10.24,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
12,65,6.11,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
