sid,season,name,first_in_box,last_in_box,peak_wind_kt,peak_sshs,peak_category,closest_land_km,obs_in_box,landfall_obs,era,source
1884177N17124,1884,UNNAMED,1884-06-24 16:00:00,1884-06-29 12:00:00,,-5,disturbance,0.0,49,9,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884186N16125,1884,UNNAMED,1884-07-03 16:00:00,1884-07-06 16:00:00,,-5,disturbance,0.0,31,5,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884191N15127,1884,UNNAMED,1884-07-08 16:00:00,1884-07-12 00:00:00,,-5,disturbance,0.0,34,6,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884201N18129,1884,UNNAMED,1884-07-18 16:00:00,1884-07-21 04:00:00,,-5,disturbance,111.0,26,0,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884208N13127,1884,UNNAMED,1884-07-25 16:00:00,1884-07-28 21:00:00,,-5,disturbance,0.0,33,6,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884215N13130,1884,UNNAMED,1884-08-01 16:00:00,1884-08-06 12:00:00,,-5,disturbance,251.0,49,0,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884231N11128,1884,UNNAMED,1884-08-17 16:00:00,1884-08-22 00:00:00,,-5,disturbance,0.0,44,9,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884236N13127,1884,UNNAMED,1884-08-22 16:00:00,1884-08-24 18:00:00,,-5,disturbance,241.0,22,0,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884243N15129,1884,UNNAMED,1884-08-29 16:00:00,1884-09-01 16:00:00,,-5,disturbance,402.0,31,0,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884250N15129,1884,UNNAMED,1884-09-05 16:00:00,1884-09-10 09:00:00,,-5,disturbance,0.0,48,6,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884263N16125,1884,UNNAMED,1884-09-18 16:00:00,1884-09-21 21:00:00,,-5,disturbance,0.0,33,5,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
1884318N11126,1884,UNNAMED,1884-11-12 16:00:00,1884-11-14 06:00:00,,-5,disturbance,0.0,17,6,pre-satellite,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
