rank,name,season,peak_wind_kt,peak_wind_kmh,peak_sshs,closest_land_km,source
1,HAIYAN,2013,170.0,315,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
2,MERANTI,2016,170.0,315,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
3,GONI,2020,170.0,315,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
4,SURIGAE,2021,170.0,315,5,202,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
5,IVAN,1997,160.0,296,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
6,MEGI,2010,160.0,296,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
7,VANESSA,1984,155.0,287,5,728,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
8,YVETTE,1992,155.0,287,5,193,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
9,ANGELA,1995,155.0,287,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
10,ZEB,1998,155.0,287,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
11,SANBA,2012,155.0,287,5,541,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
12,VONGFONG,2014,155.0,287,5,675,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
13,NURI,2014,155.0,287,5,867,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
14,HAGUPIT,2014,155.0,287,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
15,NEPARTAK,2016,155.0,287,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
16,MANGKHUT,2018,155.0,287,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
17,CHANTHU,2021,155.0,287,5,51,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
18,DIANMU,2004,153.0,283,5,728,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
19,FORREST,1983,150.0,278,5,443,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
20,DOT,1985,150.0,278,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
21,MIKE,1990,150.0,278,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
22,MAEMI,2003,150.0,278,5,332,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
23,BOPHA,2012,150.0,278,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
24,CHABA,2016,150.0,278,5,503,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
25,YUTU,2018,150.0,278,5,0,"NOAA NCEI IBTrACS v04r01, western Pacific basin"
