city,year,days,mean_c,mean_max_c,mean_min_c,hottest_day_c,coolest_night_c,rainfall_mm,days_over_35c,source
Laoag,1940,365,25.34,28.64,22.77,32.3,16.8,2354.7,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1941,365,25.87,29.32,23.21,32.7,17.1,2079.8,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1942,365,25.72,29.18,23.06,33.3,17.8,1964.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1943,365,24.87,28.27,22.27,32.2,17.0,2087.2,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1944,366,25.46,28.64,23.09,32.0,18.3,3228.0,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1945,365,25.91,29.14,23.47,32.2,19.0,1653.6,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1946,365,26.05,29.36,23.59,33.3,18.5,2957.8,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1947,365,26.1,29.54,23.46,34.0,18.2,2243.1,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1948,366,25.88,29.25,23.27,33.8,18.0,2112.7,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1949,365,26.77,30.34,23.6,35.1,17.9,2265.7,1,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1950,365,25.32,28.43,22.92,32.5,18.0,2033.1,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1951,365,25.63,28.96,23.0,34.1,18.1,1857.1,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1952,366,25.81,29.16,23.13,33.7,19.1,1901.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1953,365,25.62,28.72,23.07,33.0,18.4,1877.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1954,365,25.79,29.21,23.19,34.9,18.4,2014.7,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1955,365,25.46,29.01,22.72,34.2,15.6,1737.6,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1956,366,25.45,28.81,22.9,34.3,17.8,2686.1,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1957,365,25.56,28.97,22.87,34.6,17.4,2529.2,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1958,365,25.62,29.17,22.9,35.9,17.7,2097.6,2,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1959,365,25.79,29.41,22.95,35.0,18.1,1330.4,1,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1960,366,25.94,29.36,23.22,33.8,17.7,1679.7,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1961,365,25.46,29.01,22.65,34.4,17.2,1833.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1962,365,25.45,29.14,22.56,34.7,16.9,1714.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1963,365,25.06,28.78,22.13,34.2,14.7,1836.3,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1964,366,25.72,29.25,23.0,35.1,18.8,2086.9,1,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1965,365,25.53,29.1,22.67,32.8,17.2,1277.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1966,365,26.23,29.88,23.3,35.1,18.9,1343.8,3,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1967,365,25.25,28.74,22.43,33.9,17.2,1921.3,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1968,366,25.51,29.28,22.41,34.1,16.7,1901.1,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1969,365,25.71,29.19,22.96,33.6,17.3,2171.9,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1970,365,26.11,29.58,23.41,33.8,17.4,1923.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1971,365,25.29,28.72,22.69,33.9,16.7,2096.1,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1972,366,25.54,29.08,22.78,32.7,17.4,2398.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1973,365,26.12,29.72,23.26,35.2,17.8,1921.6,2,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1974,365,25.57,28.94,22.91,35.3,17.3,2504.0,2,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1975,365,25.72,29.15,23.05,35.7,17.6,2022.0,2,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1976,366,25.42,28.82,22.79,34.5,17.6,2360.9,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1977,365,25.65,29.09,23.04,33.8,16.6,2322.0,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1978,365,25.7,29.04,23.15,35.5,16.3,2278.5,1,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1979,365,25.74,29.17,23.09,34.9,17.6,2197.5,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1980,366,25.98,29.44,23.27,34.6,17.2,2284.8,0,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
