property,value,note,source
cities,9,"grid cells near named cities, not weather stations","Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
first day,1940-01-01,,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
last day,2024-12-31,,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
days per city,31047,,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
daily observations read,1117692,four variables per city-day,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
complete years per city,85,years with at least 360 days; partial years are excluded from every trend,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
reanalysis models compared,2,"era5, era5_land","Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
"absolute disagreement between models, Manila",1.09,"°C, mean absolute difference in annual mean temperature","Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
"trend disagreement between models, Manila",0.05,°C per decade -- the gap between two reconstructions of the same atmosphere,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
station observations,0,"reanalysis is a model constrained by observations, not a thermometer reading; PAGASA holds the station record and is unreachable from a script here","Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
typhoon tracks,0,wind and storm tracks are not in this dataset; a daily rainfall total does not identify a typhoon,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
urban heat island,0,"a 25 km grid cell cannot separate a city from the land around it, so none of this measures urbanisation","Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
