city,decade,years,days_over_35c,days_measured,days_over_35c_per_year,completeness,source
Laoag,1940s,10,1,3653,0.1,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1950s,10,3,3652,0.3,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1960s,10,4,3653,0.4,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1970s,10,7,3652,0.7,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1980s,10,1,3653,0.1,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,1990s,10,1,3652,0.1,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,2000s,10,8,3653,0.8,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,2010s,10,22,3652,2.2,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,2020s,5,155,1827,30.99,partial,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1940s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1950s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1960s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1970s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1980s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1990s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,2000s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,2010s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,2020s,5,0,1827,0.0,partial,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1940s,10,5,3653,0.5,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1950s,10,30,3652,3.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1960s,10,44,3653,4.4,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1970s,10,27,3652,2.7,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1980s,10,7,3653,0.7,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1990s,10,7,3652,0.7,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,2000s,10,2,3653,0.2,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,2010s,10,38,3652,3.8,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,2020s,5,102,1827,20.39,partial,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1940s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1950s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1960s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1970s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1980s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1990s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,2000s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,2010s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,2020s,5,0,1827,0.0,partial,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1940s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1950s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1960s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1970s,10,2,3652,0.2,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1980s,10,1,3653,0.1,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1990s,10,9,3652,0.9,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,2000s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,2010s,10,5,3652,0.5,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,2020s,5,43,1827,8.6,partial,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1940s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1950s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1960s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1970s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1980s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1990s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,2000s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,2010s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,2020s,5,2,1827,0.4,partial,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,1940s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,1950s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,1960s,10,0,3653,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,1970s,10,0,3652,0.0,complete,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
