city,month,mean_c,mean_max_c,mean_rainfall_mm,years,source
Laoag,1,23.73,27.67,22.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,2,24.44,28.86,15.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,3,25.97,30.64,24.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,4,27.48,31.84,57.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,5,27.52,31.02,199.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,6,26.92,29.76,331.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,7,26.48,29.17,428.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,8,26.15,28.72,434.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,9,26.15,29.1,361.1,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,10,26.3,29.61,175.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,11,25.68,29.03,97.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,12,24.44,27.86,50.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,1,16.45,20.08,45.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,2,16.98,20.86,41.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,3,18.07,22.17,65.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,4,19.08,23.11,112.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,5,19.29,22.84,252.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,6,18.89,22.02,401.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,7,18.44,21.34,599.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,8,18.22,20.92,611.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,9,18.2,21.14,457.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,10,18.25,21.43,328.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,11,17.94,21.39,160.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,12,17.12,20.57,94.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,1,24.89,28.18,26.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,2,25.5,29.26,16.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,3,26.75,30.86,19.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,4,28.34,32.58,20.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,5,28.63,32.34,98.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,6,27.52,30.43,194.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,7,26.74,29.28,276.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,8,26.44,28.8,287.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,9,26.45,28.96,259.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,10,26.55,29.25,172.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,11,26.24,29.1,88.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,12,25.37,28.28,83.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,1,24.9,27.31,188.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,2,25.11,27.82,119.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,3,25.92,28.94,102.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,4,27.14,30.44,83.1,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,5,27.76,30.89,139.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,6,27.42,30.22,191.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,7,26.91,29.55,252.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,8,26.88,29.46,227.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,9,26.75,29.51,243.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,10,26.51,29.26,234.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,11,26.09,28.63,213.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,12,25.41,27.75,247.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,1,25.31,27.8,63.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,2,25.61,28.47,46.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,3,26.48,29.76,43.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,4,27.72,31.29,48.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,5,27.97,31.14,130.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,6,27.16,29.68,230.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,7,26.53,28.78,288.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,8,26.5,28.67,280.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,9,26.44,28.7,266.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,10,26.34,28.74,216.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,11,26.19,28.67,126.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Iloilo,12,25.71,28.1,105.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,1,25.53,26.86,160.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,2,25.58,27.08,108.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,3,26.13,27.79,101.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,4,27.02,28.82,102.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,5,27.53,29.46,158.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,6,27.28,29.25,209.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,7,26.97,28.94,205.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,8,27.1,29.13,173.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,9,26.95,28.97,182.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,10,26.68,28.51,220.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,11,26.47,28.01,225.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,12,25.98,27.36,210.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,1,25.04,27.48,228.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,2,25.14,27.74,170.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,3,25.66,28.4,149.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,4,26.49,29.29,120.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,5,27.07,29.83,149.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,6,26.94,29.7,195.1,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,7,26.72,29.54,195.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,8,26.91,29.81,164.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,9,26.69,29.61,183.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,10,26.32,29.13,198.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,11,25.94,28.54,223.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Tacloban,12,25.44,27.87,261.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,1,26.11,28.07,111.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,2,26.24,28.34,93.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,3,26.61,28.81,99.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,4,26.94,29.1,123.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,5,26.84,28.77,189.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,6,26.42,28.19,225.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,7,26.15,27.87,215.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,8,26.19,27.97,202.0,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,9,26.2,28.03,208.1,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,10,26.22,28.03,228.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,11,26.3,28.15,199.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Zamboanga,12,26.25,28.14,145.9,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,1,24.27,27.64,139.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,2,24.39,27.98,105.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,3,24.96,28.91,103.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,4,25.72,29.84,110.5,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,5,25.59,29.29,209.3,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,6,25.14,28.56,234.6,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,7,24.94,28.39,231.2,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,8,25.01,28.57,237.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,9,25.09,28.79,246.4,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,10,25.09,28.88,244.1,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,11,24.97,28.62,167.7,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,12,24.67,28.1,129.8,85,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
