city,model,first_year,last_year,years,mean_c,trend_c_per_decade,first_decade_mean_c,last_decade_mean_c,change_c,basis,source
Laoag,era5,1950,2024,75,27.15,0.167,26.85,27.8,0.95,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,era5 (own span),1940,2024,85,26.99,0.216,25.8,27.8,2.0,full model span,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,era5_land,1950,2024,75,25.88,0.131,25.61,26.56,0.95,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Laoag,model spread,1950,2024,75,1.27,0.036,,,1.61,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,era5,1950,2024,75,18.48,0.182,18.15,19.23,1.08,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,era5 (own span),1940,2024,85,18.33,0.222,17.19,19.23,2.04,full model span,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,era5_land,1950,2024,75,18.3,0.104,18.04,18.86,0.83,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Baguio,model spread,1950,2024,75,0.27,0.078,,,0.9,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,era5,1950,2024,75,27.69,0.122,27.51,28.35,0.84,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,era5 (own span),1940,2024,85,27.57,0.162,26.64,28.35,1.71,full model span,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,era5_land,1950,2024,75,26.6,0.072,26.54,27.2,0.66,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Manila,model spread,1950,2024,75,1.09,0.05,,,1.38,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,era5,1950,2024,75,27.29,0.176,26.88,27.93,1.05,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,era5 (own span),1940,2024,85,27.13,0.219,25.97,27.93,1.96,full model span,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,era5_land,1950,2024,75,26.48,0.086,26.3,26.93,0.62,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Legazpi,model spread,1950,2024,75,0.81,0.089,,,1.19,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,era5,1950,2024,75,27.9,0.233,27.25,28.76,1.51,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,era5 (own span),1940,2024,85,27.72,0.274,26.37,28.76,2.39,full model span,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,era5_land,1950,2024,75,26.64,0.097,26.4,27.07,0.68,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Cebu,model spread,1950,2024,75,1.26,0.137,,,1.84,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,era5,1950,2024,75,26.43,0.25,25.8,27.36,1.56,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,era5 (own span),1940,2024,85,26.28,0.267,25.13,27.36,2.24,full model span,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,era5_land,1950,2024,75,24.9,0.112,24.56,25.37,0.81,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
Davao,model spread,1950,2024,75,1.53,0.138,,,2.17,shared period,"Open-Meteo archive API (ECMWF ERA5 / ERA5-Land reanalysis), https://open-meteo.com/"
