accession,serotype,year,year_basis,collection_date,first_public,host,strain,isolate,base_count,study_accession,source
L10045,DENV-2,1993,published,1983,1993-02-03,human,2088,,1485,,ENA portal API
DQ518643,DENV-2,1994,collected,1994,2006-11-01,,Phil9406a/Tw,,1485,,ENA portal API
KF744403,DENV-2,1995,collected,1995,2015-01-18,Homo sapiens,,95-SLMC-125,10176,,ENA portal API
KF744406,DENV-2,1995,collected,1995,2015-01-18,Homo sapiens,,95-SLMC-148,10176,,ENA portal API
MF094194,DENV-3,1995,collected,1995,2024-01-23,Homo sapiens,,NCH-12,1640,,ENA portal API
MF094198,DENV-3,1995,collected,1995,2024-01-23,Homo sapiens,,SLMC-42,1648,,ENA portal API
MF094200,DENV-3,1995,collected,1995,2024-01-23,Homo sapiens,,SLMC-50,1711,,ENA portal API
MF094201,DENV-3,1995,collected,1995,2024-01-23,Homo sapiens,,SLMC-54,1626,,ENA portal API
MF094202,DENV-3,1995,collected,1995,2024-01-23,Homo sapiens,,SLMC44,1603,,ENA portal API
MF094265,DENV-2,1995,collected,1995,2024-01-23,Homo sapiens,,DOH-112,2218,,ENA portal API
DQ518668,DENV-3,1996,collected,1996,2006-11-01,,Phil9609a/Tw,,1479,,ENA portal API
FJ502927,DENV-2,1996,collected,1996,2010-12-31,Homo sapiens,MN14VI04,,219,,ENA portal API
FJ502990,DENV-4,1996,collected,1996,2010-12-31,Homo sapiens,MN15VI04,,217,,ENA portal API
KF744404,DENV-2,1996,collected,1996,2015-01-18,Homo sapiens,,96-BRL-12,10176,,ENA portal API
KF744405,DENV-2,1996,collected,1996,2015-01-18,Homo sapiens,,96-SLMC-179,10176,,ENA portal API
KF744407,DENV-2,1996,collected,1996,2015-01-18,Homo sapiens,,96-CSMC-007,10176,,ENA portal API
AY496879,DENV-3,1997,collected,1997,2005-03-05,,,PhMH-J1-97,10707,,ENA portal API
DQ518670,DENV-3,1997,collected,1997,2006-11-01,,Phil9711a/Tw,,1479,,ENA portal API
MF094193,DENV-3,1997,collected,1997,2024-01-23,Homo sapiens,,BRL-35,1632,,ENA portal API
DQ518669,DENV-3,1998,collected,1998,2006-11-01,,Phil9809a/Tw,,1479,,ENA portal API
DQ518671,DENV-3,1998,collected,1998,2006-11-01,,Phil9808a/Tw,,1479,,ENA portal API
